"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	7899	0	-9.95262314769353	6.93067616761098	2.26040773335863	2.2413871447497	1.83527599077342	5.30850924050373	-0.50343000915008	0.253441774112849
"QC_05"	7899	0	-9.95262314769353	6.48405926517789	1.48148917196951	1.44892170535696	1.83600790331473	5.04844983821255	-0.338381823014621	0.114502258146699
"QC_08"	7899	0	-9.95262314769353	5.68156714710313	0.264139320909515	0.19286006385492	1.8811740220021	4.83121381425403	-0.201699621643815	0.0406827373712582
"QC_MA"	7899	0	-9.95262314769353	6.29236004018331	1.40166860039949	1.33645258552748	1.79088379519341	4.99006345065452	-0.329060020796834	0.108280497286813
"SLOPE"	7873	26	-4.49999999	-0.432157989166819	-3.37403972111524	-3.1986307949225	0.811744071204875	1.82126453348528	-0.186723342726902	0.0348656067191081
"al2o3ws"	7829	70	-0.00199799999900202	131.368800000016	91.0587706683906	100.444998720014	20.8686113734336	4.76578404171465	-1.61424302057738	2.6057805294828
"bfiws"	7892	7	0.499735157033527	0.499885348550453	0.499795565795141	0.499791753436068	2.40520001612265e-05	4.66847998589357	1.06483307317274	1.1338694737225
"caows"	7829	70	-0.5240977914875	2.94391253988416	1.25170148148543	1.27742299935135	0.481035858542038	3.46534739767092	-0.0524050206276874	0.00274628618698834
"clayws"	7882	17	0.728461685353358	1.28203538555954	1.02989682917356	1.02911677726078	0.0438965717520251	9.5677008150185	-0.173490364378094	0.0300989065320439
"compstrgthws"	7829	70	68.75	242.4294	133.477431523822	131.5156	24.7248582571884	3.28112876078558	0.153289122286904	0.0234975550114894
"elevws"	7899	0	0	600.3421	164.97368211166	146.881	100.331941585091	3.14928332709582	0.766413116204874	0.587389064690866
"fe2o3ws"	7829	70	1.4473	10.9	5.63337046876996	5.7753	1.47050256838505	3.11463722512182	-0.224366786307191	0.0503404547978169
"hydrlcondws"	7829	70	-4.98009464147232	2.67897526858828	-1.76506625102188	-1.66508483535507	0.635538376757066	6.70010854297883	0.310298926930768	0.0962854240543862
"k2ows"	7829	70	0.195	4.3541	2.2529695618853	2.3147	0.476943158583651	4.36941272531899	0.0300619862126081	0.000903723015047038
"kffactws"	7892	7	-0.49994999999999	-0.41594999999959	-0.472810906418293	-0.472785554999767	0.00514846159174625	19.7701025291802	-0.429608236638031	0.184563236987239
"mgows"	7829	70	0.3325	6.573	2.50099869715162	2.5294	0.948123296071637	5.76583621798667	0.998598594989237	0.997199153914479
"na2ows"	7829	70	0.1402	4.6	2.30502679780304	2.3816	0.70253890342091	3.13043007131672	-0.753999976245402	0.568515964178067
"nws"	7805	94	0	0.0956	0.0225193593850096	0.0199	0.0157685270722184	4.00977052965705	1.059787249686	1.12314901459701
"omws"	7882	17	-0.9222470422997	4.4823624708158	1.11235310827602	1.13148807347855	0.383667841639393	12.6633543179489	0.0223722219986615	0.000500516317157392
"p2o5ws"	7829	70	-28.0922764993421	-4.66666666663467	-12.977437134972	-13.0469625711967	2.47713447441134	5.39136393803581	-0.1130867241341	0.012788607175382
"pctalluvcoastws"	7893	6	-26414884.8743518	1.5615071092533	-24878785.5076438	-26414884.8743518	6182323.96056737	15.257821772777	3.77595309462088	14.257821772777
"pctglaclakecrsws"	7893	6	-148.489319246111	3.69042655519807	-96.7015277127848	-148.489319246111	71.5494507399248	1.43356745323272	0.657966849464689	0.432920374994489
"pctglaclakefinews"	7893	6	-26414884.8743518	1.5615071092533	-24959104.4169233	-26414884.8743518	6028232.01625304	16.2031542153307	3.89912223652074	15.2031542153305
"pctglactilcrsws"	7893	6	-1.42857142288418	34.4555204501371	30.5793611828998	34.4555204501371	8.26731429281624	9.66359300605468	-2.67831752500063	7.17338476472547
"pctglactilloamws"	7893	6	-26414884.8743518	1.5615071092533	-25009303.7203516	-26414884.8743518	5929339.04703549	16.8490594712394	3.98108772463498	15.8490594712394
"pctsilicicws"	7893	6	-5e+23	0.447633560603714	-4.99176485493475e+23	-5e+23	2.02763696255903e+22	605.155495900039	24.5795747705293	604.155495900039
"permws"	7882	17	0.964877319986753	1.30232997452618	1.15791796041015	1.15778096230508	0.0563904604546318	3.5152218633353	0.0132172255794573	0.000174695052018259
"precip9120ws"	7899	0	1190.36619808772	1420.74477617438	1290.74679504017	1291.36024521511	36.8017762319553	2.98383865664846	0.0100655371980905	0.000101315039086143
"rckdepws"	7882	17	74.52	153.446438032167	133.161782181746	134.495671828894	11.1729917049076	5.78747967196297	-1.27608720862479	1.6283985640158
"runoffws"	7899	0	73344.0000000004	261364.000000001	226609.282932541	229204.283270126	23498.3888346774	13.3829762587561	-2.05043905308367	4.20430031041064
"sandws"	7882	17	23.3	68.0620575783235	47.6239932741897	47.5429654804468	4.48930597595929	7.28525065626833	-0.415606656576767	0.172728892990919
"sio2ws"	7829	70	68.7664500000118	2904.24420000008	1966.50656927997	1962.51248200006	359.414297218807	5.8025206912504	-1.01118382817216	1.02249273435691
"sws"	7829	70	-13.0042472970027	-1.2993524590005	-6.31377841701702	-6.03670872703822	1.77849234558906	3.06042519626302	0.0609722995636451	0.00371762131407887
"tmax9120ws"	7899	0	12.2658369255253	16.6123000054525	15.1537252694478	15.3561357393171	0.780147671759236	3.94336293999623	-1.02246462992079	1.04543391943905
"tmean9120ws"	7899	0	6.50725552987879	11.9792491688647	9.85621446736124	9.99372952344738	0.936713129461673	3.43565027113727	-0.563466596881495	0.317494605801214
"tmin9120ws"	7899	0	0.748838723098693	7.67109910179412	4.55887221848199	4.58685001883553	1.15746632600301	3.25966320173867	-0.14844020814103	0.0220344953929523
"wetindexws"	7899	0	0.499998265523282	0.499999878490109	0.499999182583607	0.499999176136882	9.62490916025946e-08	12.2984525725317	1.36925311989474	1.87485410634148
"wsareasqkmws"	7899	0	-7.55374357564503	6.42232297159919	1.71151399414865	1.57243010315361	1.73152153660363	4.00123579797893	0.0785783895600018	0.0061745633058434
"wtdepws"	7882	17	7.31	169.552591850367	119.955737966464	124.448368072435	19.2505110811226	6.45079718827342	-1.08836192535254	1.18453168055709
