"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	7899	0	0.001	134763.687	1439.05879250538	12.652	11064.8278842662	119.21540995117	10.6358748100135	113.121832974279
"QC_05"	7899	0	0.001	34640.531	367.299510950753	4.784	2939.16717059869	122.13686032477	10.8521361895029	117.768859875519
"QC_08"	7899	0	0.001	4433.414	49.3974413216863	1.215	380.455928467659	121.367026631058	10.8130149170699	116.921291596775
"QC_MA"	7899	0	0.001	20371.568	226.15278807444	4.198	1706.32038769185	119.64600202097	10.6891069106575	114.257006547466
"SLOPE"	7873	26	1e-05	0.63636363	0.0139037983602185	0.00606965	0.0227055718536685	129.685235484233	6.94063270118702	48.1723822927866
"al2o3ws"	7829	70	0.998	16.24	13.4123893856176	14.2088	1.79604129489264	8.05858738211959	-2.09972028836823	4.40882528938515
"bfiws"	7892	7	43.4501	66.0382	49.7553117967562	49	3.39297150867697	7.98752649225902	1.91302811284961	3.65967656055294
"caows"	7829	70	0.6	32.6859	4.53231760122621	3.9224	2.99306591190863	17.9895977037312	2.98709759282355	8.92275202905227
"clayws"	7882	17	2.77	25.87	6.34227369741088	6.17476853017226	1.25585524725303	37.1368331798136	4.19765899508465	17.620341039015
"compstrgthws"	7829	70	68.75	242.4294	133.477431523822	131.5156	24.7248582571884	3.28112876078558	0.153289122286904	0.0234975550114894
"elevws"	7899	0	0	600.3421	164.97368211166	146.881	100.331941585091	3.14928332709582	0.766413116204874	0.587389064690866
"fe2o3ws"	7829	70	1.4473	10.9	5.63337046876996	5.7753	1.47050256838505	3.11463722512182	-0.224366786307191	0.0503404547978169
"hydrlcondws"	7829	70	0	8.5441	0.166005773406565	0.132	0.306957432064317	227.143390095703	13.0415739530263	170.082651172254
"k2ows"	7829	70	0.195	4.3541	2.2529695618853	2.3147	0.476943158583651	4.36941272531899	0.0300619862126081	0.000903723015047038
"kffactws"	7892	7	0.01	0.41	0.231601913329954	0.2333	0.027181510683085	28.8482225205692	-3.63887014429767	13.241375927061
"mgows"	7829	70	0.3325	6.573	2.50099869715162	2.5294	0.948123296071637	5.76583621798667	0.998598594989237	0.997199153914479
"na2ows"	7829	70	0.1402	4.6	2.30502679780304	2.3816	0.70253890342091	3.13043007131672	-0.753999976245402	0.568515964178067
"nws"	7805	94	0	0.0956	0.0225193593850096	0.0199	0.0157685270722184	4.00977052965705	1.059787249686	1.12314901459701
"omws"	7882	17	0.38	40.5876708633094	3.03790268551417	2.92100468416291	1.47124141288862	186.324200994653	10.4221498344211	108.621207171123
"p2o5ws"	7829	70	0.0813	0.25	0.136458653723336	0.1332	0.0193901425940439	10.5583401302979	2.03385293126383	4.13655774601046
"pctalkintruvolws"	7893	6	0	0	0	0	0	NA	NA	NA
"pctalluvcoastws"	7893	6	0	100	0.94921322690992	0	8.15678233748656	111.663539929338	10.2017490085889	104.075682834245
"pctcarbresidws"	7893	6	0	0	0	0	0	NA	NA	NA
"pctcoastcrsws"	7893	6	0	0	0	0	0	NA	NA	NA
"pctcolluvsedws"	7893	6	0	0	0	0	0	NA	NA	NA
"pcteolcrsws"	7893	6	0	0	0	0	0	NA	NA	NA
"pcteolfinews"	7893	6	0	0	0	0	0	NA	NA	NA
"pctextruvolws"	7893	6	0	0	0	0	0	NA	NA	NA
