"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"coord.Dim.6"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cor.Dim.5"	"cor.Dim.6"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"cos2.Dim.6"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"contrib.Dim.6"
"QC_04"	0.680346733000248	0.377337007217981	0.278370994863342	0.454596539068874	0.241300741093306	0.0995805943106203	0.680346733000249	0.377337007217981	0.278370994863342	0.454596539068875	0.241300741093306	0.0995805943106203	0.462871677104111	0.142383217016223	0.0774904107812068	0.206658013333399	0.0582260476521785	0.00991629476325634	6.09843680877682	2.66163988673212	1.71371516925253	6.06805244583616	2.32024747902661	0.453250511500487
"QC_05"	0.701457014089632	0.367237486402391	0.309502081887116	0.418102605704476	0.236969470070379	0.0774174883342039	0.701457014089633	0.367237486402392	0.309502081887116	0.418102605704477	0.236969470070379	0.077417488334204	0.492041942615544	0.134863371419147	0.0957915386924593	0.174809788896873	0.0561545297454362	0.00599346749997661	6.48276151412424	2.5210676942878	2.11844809297514	5.13290024403975	2.23769964357006	0.273947303391158
"QC_08"	0.699802826276285	0.376089479211736	0.310432898516571	0.412494852911194	0.234959389852069	0.0912461088459135	0.699802826276284	0.376089479211736	0.31043289851657	0.412494852911193	0.234959389852069	0.0912461088459134	0.489723995664275	0.141443296373755	0.0963685844813992	0.170152003678227	0.0552059148796565	0.00832585237952028	6.45222204993228	2.6440694853549	2.13120957032299	4.99613475146443	2.19989832715511	0.380555130700441
"QC_MA"	0.671524758769112	0.381978384226958	0.275694810343399	0.454660051730618	0.254703970632873	0.127193001513656	0.671524758769114	0.381978384226959	0.2756948103434	0.454660051730618	0.254703970632873	0.127193001513656	0.450945501639916	0.145907486016638	0.0760076284502833	0.206715762639689	0.0648741126561516	0.016178059634053	5.94130680701517	2.72752078997094	1.68092315605262	6.06974812563885	2.58516595946371	0.739461056703394
"SLOPE"	-0.111069236247268	-0.365420741395563	0.0299602436281577	-0.109312985910486	-0.0132400645232727	-0.233002591967214	-0.11106923624727	-0.365420741395568	0.0299602436281581	-0.109312985910487	-0.0132400645232728	-0.233002591967217	0.0123363752405518	0.133532318242086	0.000897616198258591	0.0119493288886663	0.000175299308580428	0.0542902078634414	0.162534474618417	2.49618565901934	0.0198509529064924	0.350865438118736	0.00698549524155479	2.48147771632913
"wetindexws"	-0.276313093659777	0.444723708144721	-0.117026954400188	0.105349365256538	0.251543596538801	0.219913007696584	-0.276313093659777	0.444723708144721	-0.117026954400188	0.105349365256538	0.2515435965388	0.219913007696584	0.0763489257278367	0.197779176585991	0.0136953080561836	0.0110984887599554	0.0632741809596748	0.0483617309541576	1.00591399733555	3.69718395326277	0.302874341829662	0.325882412100244	2.5214103443215	2.21050097998728
"pctglactilloamws"	0.495601253424282	0.200432338598619	0.0574280347200302	-0.442145978712124	-0.339911117115187	0.294217617629723	0.495601253424258	0.20043233859861	0.0574280347200274	-0.442145978712103	-0.339911117115171	0.294217617629709	0.245620602395695	0.0401731223561077	0.00329797917180467	0.195493066491283	0.115539567538483	0.0865640065237015	3.23610580801874	0.750976042530445	0.0729354364962509	5.74021864012008	4.60413167506119	3.95663714836154
"na2ows"	-0.389372628574092	-0.238796178432064	0.744283097619617	0.16374638782163	-0.137229388801793	0.14688732711531	-0.389372628574095	-0.238796178432065	0.744283097619622	0.163746387821631	-0.137229388801794	0.146887327115311	0.1516110438827	0.0570236148337588	0.55395732940226	0.026812879524632	0.0188319051509138	0.0215758868670804	1.99750906431754	1.06597063128505	12.2508716748923	0.787300509450201	0.750431846459713	0.986183044378294
"rckdepws"	-0.13907953101125	0.203963336361955	0.0344510782406248	0.128969122392029	0.141057314222413	-0.346422092846216	-0.139079531011249	0.203963336361954	0.0344510782406246	0.128969122392029	0.141057314222412	-0.346422092846214	0.019343115946309	0.0416010425798995	0.00118687679194164	0.01663303453057	0.0198971658956404	0.120008266411951	0.25484983445396	0.777668861405812	0.0262480059387873	0.488392026212283	0.792881379909479	5.48529561031746
"pctglactilcrsws"	0.0260293202785975	-0.532688019653855	0.328155724888509	0.0294911522764367	0.307187654240624	0.00458455298556913	0.0260293202785995	-0.532688019653897	0.328155724888535	0.029491152276439	0.307187654240648	0.00458455298556949	0.000677525514165913	0.283756526282791	0.10768617977712	0.000869728062592113	0.0943642549178718	2.10181260774941e-05	0.00892654862860586	5.30440106848166	2.3815003423318	0.0255376281436974	3.76031747666099	0.000960689110483451
