"eigenvalue"	"percentage of variance"	"cumulative percentage of variance"
"comp 1"	7.59000530165288	19.4615520555201	19.4615520555201
"comp 2"	5.34945458722579	13.7165502236558	33.1781022791758
"comp 3"	4.52177889135485	11.5943048496277	44.7724071288036
"comp 4"	3.40567282794672	8.73249443063256	53.5049015594361
"comp 5"	2.50947574250163	6.43455318590157	59.9394547453377
"comp 6"	2.18781766631182	5.60978888797898	65.5492436333167
"comp 7"	1.73557068805404	4.45018125142059	69.9994248847373
"comp 8"	1.35915320319603	3.48500821332312	73.4844330980604
"comp 9"	1.239861106738	3.17913104291793	76.6635641409783
"comp 10"	1.10500978092003	2.83335841261545	79.4969225535938
"comp 11"	1.01110380615585	2.59257386193805	82.0894964155318
"comp 12"	0.914832440053572	2.34572420526555	84.4352206207974
"comp 13"	0.77550266895689	1.98846838194073	86.4236890027381
"comp 14"	0.711470630969871	1.8242836691535	88.2479726718916
"comp 15"	0.64219287093029	1.64664838700073	89.8946210588923
"comp 16"	0.520531552820532	1.3346962892834	91.2293173481757
"comp 17"	0.477502811065606	1.22436618221949	92.4536835303952
"comp 18"	0.436573455273262	1.11941911608528	93.5731026464805
"comp 19"	0.377560908385884	0.968104893297132	94.5412075397776
"comp 20"	0.326260991592947	0.836566645110113	95.3777741848878
"comp 21"	0.299214766128706	0.767217349047957	96.1449915339357
"comp 22"	0.266144052436613	0.682420647273362	96.8274121812091
"comp 23"	0.227822709029062	0.584160792382207	97.4115729735913
"comp 24"	0.202208181900502	0.51848251769359	97.9300554912849
"comp 25"	0.170925431311326	0.438270336695704	98.3683258279806
"comp 26"	0.157192311406214	0.403057208733879	98.7713830367145
"comp 27"	0.104166648514751	0.267093970550641	99.0384770072651
"comp 28"	0.0851011384673939	0.21820804735229	99.2566850546174
"comp 29"	0.0814623107224733	0.208877719801212	99.4655627744186
"comp 30"	0.0631994996892179	0.162049999203122	99.6276127736217
"comp 31"	0.0447107701420086	0.114643000364124	99.7422557739858
"comp 32"	0.0366370087049391	0.0939410479613816	99.8361968219472
"comp 33"	0.0322164397227761	0.0826062556994252	99.9188030776466
"comp 34"	0.0200788393227971	0.051484203391787	99.9702872810384
"comp 35"	0.00781270019841271	0.0200325646113145	99.9903198456498
"comp 36"	0.00246670803533083	0.00632489239828412	99.996644738048
"comp 37"	0.00108812720238268	0.00279006974969916	99.9994348077977
"comp 38"	0.000220282002900662	0.000564825648463232	99.9999996334462
"comp 39"	1.42955986670799e-07	3.66553811976405e-07	100
