"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	3141	0	-12	4.57546880954576	0.631456525772475	0.587823171319067	0.963487141490722	13.731227926686	-0.463308415172309	0.214654687569477
"QC_05"	3141	0	-2.99999999956571	4.25589874032057	0.512418024775685	0.464936429121882	0.867217171458477	5.05979885581869	0.312311768642411	0.097538640832551
"QC_08"	3141	0	-12	3.56516409304339	0.191184846179468	0.155336037465366	0.83372930798939	18.7440602780042	-0.765685414681505	0.586274154255988
"QC_MA"	3141	0	-12	4.30004798874882	0.42601344687233	0.388456452700444	1.01220972242336	25.102740941561	-1.53816483543467	2.36595106096776
"SLOPE"	3138	3	-4.99999995657055	-0.769551078619171	-3.70845154826988	-3.35875400269535	1.11249791912596	1.50903548988795	-0.013829312030996	0.00019124987125065
"al2o3ws"	3137	4	8.2032	20.6912	12.0500534587185	12.0112	0.917194205467783	11.0771629604309	1.04577757690204	1.09365074035111
"bfiws"	3141	0	48.1415	66	58.3448759949061	58.1132	4.67079570208625	1.93281585217826	-0.29405387332491	0.0864676804173821
"caows"	3137	4	-0.438129086347682	1.24850044176988	0.501382189546175	0.507442652398285	0.150792101331054	14.1549366761872	-0.537649640879802	0.28906713633818
"clayws"	3140	1	7.38	25.81	16.0258178552095	15.5501111372601	2.95866924744613	4.38870343254237	0.947732064681275	0.898196066425032
"compstrgthws"	3137	4	-1.16817820127639	0.624848607173496	-0.882052493758964	-1.16817820127639	0.56362469721886	4.87707612657801	1.83006209962823	3.34912728849568
"elevws"	3141	0	-9.3690426555198	7.60981568175761	2.68776645719712	2.8845044559261	1.34301955704255	6.76515582737188	-0.00347436155271599	1.20711881989911e-05
"fe2o3ws"	3137	4	0.435449064629748	0.584524391044611	0.524594573202735	0.522908589025029	0.0195892725682519	7.37134436940407	-0.370937516267299	0.137594640974553
"hydrlcondws"	3137	4	-1.919999999975	11.0732857384823	2.14177400916127	1.96686274025255	1.29916792628238	7.68643952464006	0.557449282292506	0.31074970232843
"k2ows"	3137	4	-0.4199999999996	7.28703648000395	2.31301392719236	2.3807200450024	0.410821857664642	34.5657117987549	1.21220530380597	1.46944169857532
"kffactws"	3139	2	0.0059	0.43	0.238036126154826	0.2353	0.0792235362004976	3.40336177057141	0.318260762414165	0.101289912892446
"mgows"	3137	4	-0.624887508433563	0.496583351647389	0.181311786230103	0.177113416676821	0.0873772191861947	21.6174529776944	-1.21137545876925	1.46743050210841
"na2ows"	3137	4	0.9495	3.5132	2.17810752311125	2.2399	0.250420685895259	12.8786871311231	-0.60983490258708	0.371898608413393
"nws"	3137	4	0.0046	0.9	0.32516452024227	0.2787	0.170814115200947	6.49824999518104	1.71810221534448	2.9518752223716
"omws"	3140	1	-1.07650370055502	0.994609399330879	-0.131688205245675	-0.290668859839022	0.633833003215697	1.75093392203273	0.267115436406465	0.0713506563666163
"p2o5ws"	3137	4	0.0822	0.1994	0.18484721071087	0.1994	0.0274582417073169	4.11932840057089	-1.63277666576613	2.66595964027035
"pctalluvcoastws"	3140	1	0	100	87.3515636942675	100	31.0044632114839	6.27835369125396	-2.24612192733239	5.04506371244337
"pctcarbresidws"	3140	1	0	6.83	0.0609777070063694	0	0.575365224242617	96.6905286619502	9.63255560872252	92.7861275551318
"pctcoastcrsws"	3140	1	0	100	3.90855732484076	0	17.4100041744255	23.9354242847656	4.66655498438778	21.7767354223144
"pctcolluvsedws"	3140	1	0	43.01	0.227312101910828	0	2.74070435728648	210.610123979581	14.2033885612403	201.736246621571
