"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	3141	0	0	37624.333	281.712629735753	3.871	3060.17383143152	140.864911236986	11.8200688256192	139.714027042376
"QC_05"	3141	0	0.001	18025.974	138.694991404011	2.917	1475.93507258415	140.701929822148	11.8133905972109	139.556197402272
"QC_08"	3141	0	0	3674.211	30.9300980579433	1.43	300.352147150509	140.386314114271	11.7932810084205	139.081476943571
"QC_MA"	3141	0	0	19954.828	151.392432664756	2.446	1612.89481977242	140.930185396135	11.8193584145625	139.697233331889
"SLOPE"	3138	3	1e-05	0.17	0.00192458444231995	0.00043777	0.00639118105632728	261.228942422364	13.1396982013822	172.651668823407
"al2o3ws"	3137	4	8.2032	20.6912	12.0500534587185	12.0112	0.917194205467783	11.0771629604309	1.04577757690204	1.09365074035111
"bfiws"	3141	0	48.1415	66	58.3448759949061	58.1132	4.67079570208625	1.93281585217826	-0.29405387332491	0.0864676804173821
"caows"	3137	4	0.6824	19.2726	1.98547727127829	1.8718	0.905209611780271	93.3986813089821	7.63926844635423	58.3584223954634
"clayws"	3140	1	7.38	25.81	16.0258178552095	15.5501111372601	2.95866924744613	4.38870343254237	0.947732064681275	0.898196066425032
"compstrgthws"	3137	4	0.5175	181.9111	10.1776337902455	0.5175	33.2206509485318	13.1023893839702	3.38532998202098	11.4604590871702
"elevws"	3141	0	0	286.7795	18.111735307227	12.6089	30.2346764903536	40.7428639398907	5.46702186285177	29.8883280488992
"fe2o3ws"	3137	4	2.21	19.6861	4.02426263946446	3.6429	1.61434117398622	31.6253661535732	4.77419902316865	22.7929763128245
"hydrlcondws"	3137	4	0.0016	42.7277	4.71039780044629	3.934	3.1135255580048	16.6369368405393	2.95407599823307	8.72656500333669
"k2ows"	3137	4	0.4	3.9464	2.36450612049729	2.4003	0.187482973735867	36.5725119475432	-2.48584307888185	6.1794158128248
"kffactws"	3139	2	0.0059	0.43	0.238036126154826	0.2353	0.0792235362004976	3.40336177057141	0.318260762414165	0.101289912892446
"mgows"	3137	4	0.6667	12.0972	1.34225266177877	1.2444	0.568096763032896	110.045636624046	8.48754707738495	72.0384553908259
"na2ows"	3137	4	0.9495	3.5132	2.17810752311125	2.2399	0.250420685895259	12.8786871311231	-0.60983490258708	0.371898608413393
"nws"	3137	4	0.0046	0.9	0.32516452024227	0.2787	0.170814115200947	6.49824999518104	1.71810221534448	2.9518752223716
"omws"	3140	1	0.46	7.28	1.54257682189254	0.770018014279852	1.67826905758236	7.23642315283442	2.25969035842954	5.10620051597942
"p2o5ws"	3137	4	0.0822	0.1994	0.18484721071087	0.1994	0.0274582417073169	4.11932840057089	-1.63277666576613	2.66595964027035
"pctalkintruvolws"	3140	1	0	0	0	0	0	NA	NA	NA
"pctalluvcoastws"	3140	1	0	100	87.3515636942675	100	31.0044632114839	6.27835369125396	-2.24612192733239	5.04506371244337
"pctcarbresidws"	3140	1	0	6.83	0.0609777070063694	0	0.575365224242617	96.6905286619502	9.63255560872252	92.7861275551318
"pctcoastcrsws"	3140	1	0	100	3.90855732484076	0	17.4100041744255	23.9354242847656	4.66655498438778	21.7767354223144
"pctcolluvsedws"	3140	1	0	43.01	0.227312101910828	0	2.74070435728648	210.610123979581	14.2033885612403	201.736246621571
"pcteolcrsws"	3140	1	0	84.31	0.108254777070064	0	2.01883190657886	1113.48005132364	30.7393130168262	944.905364746421
"pcteolfinews"	3140	1	0	0.21	0.00137898089171975	0	0.0164374824459766	142.03079652578	11.8615009147709	140.695203951111
"pctextruvolws"	3140	1	0	0	0	0	0	NA	NA	NA
"pctglaclakecrsws"	3140	1	0	0.39	0.0025859872611465	0	0.0308125170748288	141.552125360692	11.8465647753971	140.341096977679
"pctglaclakefinews"	3140	1	0	0	0	0	0	NA	NA	NA
"pctglactilclayws"	3140	1	0	0.78	0.00519108280254777	0	0.061846353490327	141.430017046088	11.8427628003465	140.251030745271
"pctglactilcrsws"	3140	1	0	1.32	0.00878662420382166	0	0.104679728239854	141.38899661291	11.8414688100212	140.220383578705
"pctglactilloamws"	3140	1	0	47.21	0.314057324840764	0	3.74159925592443	141.409673494678	11.8421196090779	140.235796835707
"pcthydricws"	3140	1	0	97.49	0.526646496815287	0	5.10257062149185	208.720484871248	13.6309665813974	185.803249943174
"pctnoncarbresidws"	3140	1	0	100	6.35868789808917	0	22.7708685433653	14.2134648602815	3.56920985056513	12.7392589573711
"pctsallakews"	3140	1	0	0	0	0	0	NA	NA	NA
"pctsilicicws"	3140	1	0	100	0.914433121019108	0	6.82896378066269	129.779669352549	10.5358919022504	111.005018175905
"permws"	3140	1	2.03	28.15	16.4454990750984	15.8331987576708	6.29477710320815	2.37326077815925	-0.142873519025512	0.0204128424387333
"precip9120ws"	3141	0	1182.29395648195	1261.2080677422	1203.94319657198	1200.96259936522	13.3480425297316	6.28436435172137	1.62112837327628	2.6280572026414
"rckdepws"	3140	1	80.08	153.58	150.92962382376	152.4	4.69459445845097	86.9055094403847	-7.69533397792803	59.2181650318537
"runoffws"	3141	0	434	589.6351	459.97312976759	435	41.3150537723398	3.09722406824756	1.33587716496462	1.78456779987391
"sandws"	3140	1	13.86	75.32	53.7009181482222	57.8301802197119	15.6413871343159	2.00352911069287	-0.534318202767429	0.285495941808615
"sio2ws"	3137	4	37.0107	81.05	70.4445003506535	71.1818	3.11030522085093	19.5138152944201	-3.13088072599791	9.80241412042523
"sws"	3137	4	0.01	0.4872	0.0548098182977367	0.0577	0.0199674179564059	93.3127337986559	6.16645739531556	38.025196808242
"tmax9120ws"	3141	0	15.3805194214906	19.7186847081864	18.6486002878171	18.6490038608437	0.574843395415546	8.36015741704831	-1.46572307174708	2.14834412305168
"tmean9120ws"	3141	0	9.82755287437872	14.0805668295341	13.3701869590696	13.4176162909466	0.516214015539637	15.7522762307646	-2.60985725252985	6.81135487858264
"tmin9120ws"	3141	0	4.27478741596354	9.72174777155009	8.09200574203773	8.09568549496412	0.608842161230926	11.8612011557592	-1.46910206684142	2.15826088279774
"wetindexws"	3140	1	684.6044	1781.8357	1041.7776283121	1044.0945	134.266629189608	6.46160574270744	0.751118107010792	0.564178410679476
"wsareasqkmws"	3141	0	9e-04	29706.3144	243.38679025788	7.3836	2378.64706261748	140.974325974815	11.814239300458	139.576250248486
"wtdepws"	3140	1	11.43	160.02	99.8710408857081	106.25918593844	40.7830063070299	2.3967501156178	-0.577809795468131	0.333864159738923
