"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"
"QC_04"	0.415286693460601	0.606715896095989	0.083459610338782	0.556964639960596	0.415286693460601	0.606715896095989	0.083459610338782	0.556964639960596	0.172463037765439	0.368104178575558	0.00696550655790132	0.310209610166436	1.376614487339	5.4605631269993	0.12653168606123	7.83594092731041
"QC_05"	0.44259984816803	0.598887788198168	0.0766196294093744	0.543619357352471	0.44259984816803	0.598887788198169	0.0766196294093745	0.543619357352472	0.195894625598363	0.358666582852895	0.00587056761082989	0.295522005688314	1.56364739415831	5.32056312099521	0.10664160772229	7.4649298519523
"QC_08"	0.397598981970712	0.618044272126048	0.0903643176442597	0.554511372231273	0.397598981970712	0.618044272126048	0.0903643176442598	0.554511372231274	0.158084950464147	0.381978722307817	0.00816570990331268	0.30748286193381	1.26184738398956	5.66638209434024	0.148333941453404	7.7670628610795
"QC_MA"	0.398377501575375	0.591320301154911	0.0982638003701815	0.556269909988207	0.398377501575375	0.591320301154912	0.0982638003701816	0.556269909988207	0.158704633761438	0.349659698557935	0.00965577446319089	0.309436212758288	1.26679374824052	5.18695241203635	0.175401661443935	7.81640479366086
"SLOPE"	0.123062763661132	-0.261137129476334	0.270973263176804	0.0879629299269348	0.12306276366113	-0.261137129476331	0.270973263176801	0.0879629299269339	0.0151444437999152	0.0681926003911383	0.073426509356684	0.00773747704133068	0.120884225442032	1.01158862328324	1.33382690164194	0.19544982178263
"bfiws"	-0.605836336996268	0.454173393616903	0.438638758778903	-0.0533476327776712	-0.605836336996274	0.454173393616908	0.438638758778908	-0.0533476327776717	0.367037667225063	0.206273471469499	0.192403960703101	0.00284596992298132	2.92972556118559	3.0599199301218	3.49510797962075	0.0718896238753476
"elevws"	0.719180441862332	0.0133337361930311	0.211756920350022	0.40539192620445	0.719180441862333	0.0133337361930311	0.211756920350022	0.40539192620445	0.517220507957301	0.000177788520865347	0.0448409933161255	0.164342613831754	4.12849764000585	0.00263736599024177	0.814557626467759	4.15131888768527
"na2ows"	-0.259672571198552	-0.21223848557765	0.551421925128175	0.103528089824936	-0.259672571198542	-0.212238485577642	0.551421925128155	0.103528089824932	0.067429844232862	0.045045174760291	0.30406613951204	0.0107180653827993	0.538230693676085	0.668213062120441	5.52350370885053	0.270739926946851
"sio2ws"	-0.69457644843834	0.111087019638545	-0.473657153034696	0.155059506304378	-0.694576448438406	0.111087019638556	-0.47365715303474	0.155059506304393	0.482436442725309	0.0123403259321768	0.224351098620976	0.0240434504953619	3.85084830280611	0.183059939773419	4.07544268923194	0.607341138365279
"k2ows"	-0.166831118322829	-0.0659438705911355	0.422740387402105	0.0327283846553332	-0.166831118322818	-0.0659438705911314	0.422740387402079	0.0327283846553312	0.0278326220408422	0.00434859406853988	0.17870943514086	0.00107114716214732	0.222162332395939	0.0645082935946231	3.24634051457111	0.0270573367554289
"fe2o3ws"	0.25439056408174	-0.00433155835684752	0.592451925891055	-0.0985483439065194	0.254390564081718	-0.00433155835684715	0.592451925891004	-0.0985483439065108	0.0647145590938145	1.87623977987723e-05	0.350999284491959	0.00971177608671593	0.516557059092746	0.000278326798653977	6.37606624929258	0.245320909542277
"p2o5ws"	-0.591834601907099	0.54369752151812	0.391149624237467	-0.121217103608432	-0.591834601907118	0.543697521518137	0.39114962423748	-0.121217103608436	0.350268196014557	0.295606994904965	0.152998028541122	0.0146935862072183	2.79587023013886	4.38511907880907	2.77928078229876	0.371162174725417
"al2o3ws"	0.262262932048074	-0.321404499237603	0.761218399466465	-0.0133979983102619	0.262262932048059	-0.321404499237585	0.761218399466422	-0.0133979983102612	0.068781845526445	0.103300852130163	0.579453451686222	0.000179506358721761	0.549022481828292	1.53239451481492	10.5260430991477	0.00453435734072129
"caows"	0.435077596393688	0.148833358708203	0.530835139268001	-0.135255084051108	0.435077596393683	0.148833358708201	0.530835139267995	-0.135255084051106	0.189292514883704	0.0221513686643642	0.281785945081671	0.0182939377616719	1.51094879059336	0.328599765993607	5.11877355123539	0.462107590901023
"mgows"	0.503964605942593	0.0719192283048569	0.523203000882048	-0.145570906569184	0.50396460594257	0.0719192283048536	0.523203000882024	-0.145570906569177	0.25398032404285	0.00517237539996566	0.273741380131955	0.0211908888393721	2.02729232945552	0.0767285025053194	4.97264026455293	0.535285006333122
"sws"	-0.0979088213267003	0.740125529848306	0.127297280763185	-0.248108924107296	-0.097908821326701	0.740125529848311	0.127297280763185	-0.248108924107298	0.00958613729358386	0.547785799933243	0.0162045976897013	0.0615580382216807	0.0765173549471859	8.12601191375841	0.294364099807777	1.55496520835508
"nws"	-0.140617440147992	-0.226970729659207	-0.879599471662489	0.178517222583976	-0.140617440148002	-0.226970729659224	-0.879599471662554	0.17851722258399	0.019773264473777	0.0515157121220406	0.773695230549045	0.0318683987591017	0.157831861767414	0.764198872078118	14.0545359056247	0.80500049624599
"hydrlcondws"	-0.257188527205145	-0.0178484605861465	-0.879809420345974	0.127902566353483	-0.257188527205161	-0.0178484605861476	-0.87980942034603	0.127902566353491	0.06614593852596	0.000318567545295265	0.774064616129617	0.0163590664798093	0.527982450229736	0.00472572247897131	14.0612459675463	0.413232454316732
"compstrgthws"	0.7835599993163	-0.431383131814025	-0.110077665710525	0.0269252506676325	0.783559999316252	-0.431383131813999	-0.110077665710518	0.0269252506676309	0.613966272528484	0.186091406413654	0.0121170924882766	0.000724969123514757	4.90073047796979	2.76053337956169	0.220112655118028	0.0183128279711851
"wetindexws"	-0.659883172613582	0.294203710140857	0.0215140996103716	-0.296382946206758	-0.659883172613582	0.294203710140857	0.0215140996103716	-0.296382946206758	0.435445801498567	0.0865558230606455	0.000462856482044992	0.0878428508021983	3.47576504832964	1.28399394340214	0.00840800458526422	2.21892348661686
"kffactws"	0.530001125600135	-0.378743365981863	-0.345625006326813	0.427853485280545	0.530001125600119	-0.378743365981851	-0.345625006326803	0.427853485280532	0.280901193137393	0.143446537275262	0.119456644998403	0.183058604866698	2.24217697307232	2.12792714055077	2.16998585490109	4.62408760709179
"pctcarbresidws"	0.60913598390462	0.42545000811893	-0.0908227635906501	-0.214942070800483	0.609135983904719	0.425450008118999	-0.0908227635906649	-0.214942070800518	0.37104664688757	0.181007709408457	0.0082487743862458	0.0462000938000147	2.96172557437221	2.68512035783701	0.149842846655004	1.16702124624303
"pctglactilloamws"	0.607552192257944	0.600225528648677	-0.256236482345808	-0.3777095612684	0.607552192257998	0.60022552864873	-0.25623648234583	-0.377709561268434	0.369119666317499	0.360270685241647	0.065657134884965	0.142664512673593	2.94634425322726	5.34435883662524	1.19269257876427	3.60372682565769
"pcteolfinews"	0.607380262631925	0.600132457099899	-0.256259513087514	-0.377768032946317	0.607380262631911	0.600132457099885	-0.256259513087508	-0.377768032946309	0.368910783434809	0.360158966064745	0.0656689380478468	0.142708686716123	2.94467693247215	5.3427015622637	1.19290698874146	3.6048426685481
"pctglactilcrsws"	0.607555148089667	0.600225882944782	-0.256234085676795	-0.377703907043436	0.607555148089578	0.600225882944695	-0.256234085676758	-0.377703907043381	0.369123257970149	0.360271110556738	0.065655906662604	0.142660241395835	2.94637292210248	5.34436514587399	1.19267026753091	3.60361893254745
"pctcolluvsedws"	0.391478077487169	0.153606322320429	0.0544810171932078	-0.0268688991444338	0.391478077487186	0.153606322320436	0.0544810171932102	-0.026868899144435	0.153255085153063	0.0235949022568097	0.00296818123440687	0.000721937741233818	1.22329499244353	0.350013557974947	0.0539184010527913	0.0182362548035454
"pcthydricws"	-0.048272357426064	0.0731470731422056	0.0542820895976692	-0.0337076699746569	-0.0482723574260655	0.0731470731422079	0.0542820895976709	-0.0337076699746579	0.00233022049146982	0.00535049430927151	0.00294654525108957	0.00113620701512046	0.0186000161473103	0.0793707695725835	0.0535253732914987	0.0287007583256437
