"eigenvalue"	"percentage of variance"	"cumulative percentage of variance"
"comp 1"	12.5280562823954	27.234904961729	27.234904961729
"comp 2"	6.74113951280039	14.6546511147834	41.8895560765124
"comp 3"	5.50495039995802	11.9672834781696	53.856839554682
"comp 4"	3.95880485884306	8.60609751922399	62.4629370739059
"comp 5"	2.09324400688815	4.55053044975683	67.0134675236628
"comp 6"	1.88864102833184	4.10574136593877	71.1192088896016
"comp 7"	1.76073531586068	3.82768546926234	74.9468943588639
"comp 8"	1.42422199685687	3.09613477577579	78.0430291346397
"comp 9"	1.29885700756882	2.82360219036699	80.8666313250067
"comp 10"	1.14434495914182	2.48770643291699	83.3543377579237
"comp 11"	1.00829196897574	2.19193906299073	85.5462768209144
"comp 12"	0.885589979677759	1.92519560799512	87.4714724289095
"comp 13"	0.849234032136449	1.84616093942705	89.3176333683366
"comp 14"	0.706154864800509	1.53511927130545	90.852752639642
"comp 15"	0.579989932015731	1.26084767829506	92.1136003179371
"comp 16"	0.546481438409031	1.18800312697615	93.3016034449132
"comp 17"	0.397260086948999	0.863608884671732	94.165212329585
"comp 18"	0.378488313289968	0.822800681065143	94.9880130106501
"comp 19"	0.332688630844192	0.723236154009109	95.7112491646592
"comp 20"	0.284904037016946	0.61935660221075	96.33060576687
"comp 21"	0.261292392819284	0.568026940911483	96.8986327077814
"comp 22"	0.235981915439151	0.513004163998152	97.4116368717796
"comp 23"	0.20485054791993	0.445327278086802	97.8569641498664
"comp 24"	0.182855349293322	0.397511628898524	98.2544757787649
"comp 25"	0.140973845572441	0.306464881679218	98.5609406604441
"comp 26"	0.127956777117164	0.278166906776443	98.8391075672206
"comp 27"	0.107882550504109	0.234527283704584	99.0736348509252
"comp 28"	0.0780711811481032	0.169719959017615	99.2433548099428
"comp 29"	0.0634749957364037	0.137989121166094	99.3813439311089
"comp 30"	0.0493310725549173	0.107241462075907	99.4885853931848
"comp 31"	0.0459838757492901	0.099964947281065	99.5885503404659
"comp 32"	0.0403614590600069	0.0877423023043623	99.6762926427702
"comp 33"	0.0351971766782279	0.0765156014744081	99.7528082442446
"comp 34"	0.0285814994965771	0.0621336945577759	99.8149419388024
"comp 35"	0.0228212540164451	0.0496114217748804	99.8645533605773
"comp 36"	0.022007416854488	0.0478422105532346	99.9123955711305
"comp 37"	0.0192087051622434	0.0417580547005288	99.954153625831
"comp 38"	0.0145273173434441	0.031581124659661	99.9857347504907
"comp 39"	0.00621145545883736	0.0135031640409507	99.9992379145316
"comp 40"	0.00020691522040292	0.000449815696528086	99.9996877302282
"comp 41"	5.62108973292916e-05	0.000122197602889764	99.9998099278311
"comp 42"	3.94936100585641e-05	8.58556740403564e-05	99.9998957835051
"comp 43"	3.53677935800555e-05	7.6886507782729e-05	99.9999726700129
"comp 44"	9.98820576588744e-06	2.17134907954074e-05	99.9999943835037
"comp 45"	2.46310283810738e-06	5.35457138718993e-06	99.9999997380751
"comp 46"	1.20485465592573e-07	2.61924925201245e-07	100
