"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	13870	0	-12	4.94894355186487	0.725798070848105	0.545492668349832	1.04170364957387	10.7270926486122	0.294771893714843	0.0868904693242348
"QC_05"	13870	0	-12	4.51751045609872	0.614883456618301	0.449324065676437	0.973635852230802	12.3615882135758	0.179661072121074	0.0322781008356938
"QC_08"	13870	0	-12	3.79632832521863	0.259295115357401	0.105680429577899	0.897530214947968	14.2388688687102	0.0756917871057891	0.0057292466352681
"QC_MA"	13870	0	-12	4.58574609693189	0.527781365365624	0.352568386179501	1.04617763737118	12.9380465470401	0.0219553588647204	0.000482037782878657
"SLOPE"	13854	16	-6.83772230820884	-1.41818379982259	-5.03807846064607	-4.68909758898631	1.50719245781162	1.52049428552378	-0.0304048147284773	0.000924452758673027
"al2o3ws"	13857	13	0.6779	16.2455	11.4345651511871	12.096	2.25051230109348	6.28061368047854	-1.49703084496981	2.24110135079102
"bfiws"	13785	85	30.9144	66.7986	50.330922299601	52	7.13797820448179	2.8204086471358	-0.523639151422581	0.27419796090256
"caows"	13857	13	-1.12690909663707	1.69040804071455	0.432387525768851	0.289723500764574	0.579208962859062	2.97864942118677	0.058072839678758	0.00337245470835473
"clayws"	13803	67	8.13	41.2155443886097	19.0612640975429	18.7449681528662	3.92819948007248	7.14837653264982	1.12364453087007	1.26257703175422
"compstrgthws"	13857	13	0.5175	224.1028	42.9502308869164	1.9783	52.2727962801755	1.99793182915026	0.708930408406368	0.50258232396322
"elevws"	13870	0	-9.3690426555198	9.9277161116963	4.48277404003861	4.29952432365792	2.75312368639271	2.13362353825708	-0.048484362948461	0.0023507334505181
"fe2o3ws"	13857	13	0.6678	20.23	10.1635757451108	10.569	5.5572139581953	1.50860939011508	-0.0244882422219064	0.000599674007118758
"hydrlcondws"	13857	13	-2.92081875359046	2.33272439413289	0.408205534943164	0.784260582566155	1.01444612709689	2.20263953017899	-0.205200805582488	0.0421073706117022
"k2ows"	13857	13	0.0582	5.9718	2.08397015226961	2.1187	0.528861401252375	11.5250154446577	1.26118507213589	1.59058778617841
"kffactws"	13866	4	0	0.43	0.306980636088273	0.3259	0.0693795718100817	6.14621154753187	-1.63371093182	2.66901140874818
"mgows"	13857	13	-1.80504908835118	0.969242693601866	0.302294519865964	0.17012448132849	0.28672182182815	2.61167757751336	0.205060419338656	0.0420497755793454
"na2ows"	13857	13	0.1237	3.9291	1.25473292920546	1.1804	0.537066466263522	5.93680695008829	1.36336243986751	1.8587571424415
"nws"	13857	13	3e-04	0.9136	0.426526917803276	0.5422	0.317832379278474	1.31735589718246	-0.20905334883542	0.043703302659304
"omws"	13804	66	-7.075719005086	0.752526861869569	-0.613686536471964	-0.678886899037649	0.595735212307233	6.95278316652847	0.0352621634217258	0.00124342016918049
"p2o5ws"	13857	13	-11.0540286194588	-0.736311812064004	-4.32515489233197	-4.41407996959363	0.818951078006132	10.132880227304	-0.197669002619286	0.0390730345965033
"pctalluvcoastws"	13777	93	0	100	46.3257842781447	9.76	47.8113403426058	1.08177578559081	0.139971322121866	0.0195919710165432
"pctcarbresidws"	13777	93	0	100	2.34519489003411	0	12.5900232682821	45.5709073149172	6.44314696729367	41.5141428421456
"pctcoastcrsws"	13777	93	0	100	0.187437758583146	0	3.26890195001817	489.274777866622	20.9007759760088	436.842436399307
"pctcolluvsedws"	13777	93	0	100	14.5363518908325	0	33.5796602416246	5.13526001930323	1.99788927370875	3.99156155000048
"pcteolcrsws"	13777	93	0	100	0.919520940698265	0	8.07585738517448	109.323931816811	10.0195737769958	100.391858672663
"pctglaclakecrsws"	13777	93	0	1.23	0.00219714016113813	0	0.0515348008378381	549.225725287138	23.4134481168238	548.189552719201
"pctglactilclayws"	13777	93	0	0.59	0.0010590113958046	0	0.0248395680186593	549.231767282691	23.4135432027071	548.194005305033
"pctglactilcrsws"	13777	93	0	1.4	0.00252231980837628	0	0.0591611962267931	549.164030929966	23.4124629986224	548.143423661863
"pctglactilloamws"	13777	93	0	40.46	0.0726551498874937	0	1.70414021262966	549.185743092218	23.4128096182554	548.159654220673
"pcthydricws"	13777	93	0	100	0.492124555418451	0	5.1409699434556	292.10225170795	16.071097684007	258.280180768895
"pctnoncarbresidws"	13777	93	0	100	22.7310227190245	0	37.4148725813608	2.885643662016	1.27497211772478	1.6255539009756
"pctsilicicws"	13777	93	0	100	12.2462575306671	0	28.9852092245679	6.85634609190677	2.31652536862783	5.36628978349632
"permws"	13803	67	2.03	28.15	9.71731062940638	8.41	4.85588517209816	4.50420752681507	1.25390688504083	1.5722824763528
"precip9120ws"	13870	0	987.372705344212	1501.9034126662	1177.31748958192	1184.59226918807	55.1998361968557	6.53977162478223	-0.532214466624494	0.283252238484394
"rckdepws"	13803	67	73.15	176.82	139.324429585625	149.503971129769	20.9645425424472	3.88070322014372	-1.45003665978722	2.10260631472688
"runoffws"	13870	0	0.499995894943391	0.499999025574648	0.499997237201528	0.499997345452229	6.10207873559403e-07	3.08668005104522	0.233427527908545	0.0544884107854948
"sandws"	13803	67	9.46	77.04	38.1080225866368	36.891963099631	11.5468076718179	3.98916492462627	0.904450726754539	0.818031117126813
