"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	13870	0	0	88908.555	408.894993294881	3.5115	3930.2376053132	403.346802146194	18.6542157295788	347.979764485667
"QC_05"	13870	0	0	32923.838	179.798932516222	2.814	1518.29617007186	342.561504725826	16.8856057222273	285.123680606515
"QC_08"	13870	0	0	6256.455	44.2898393655371	1.2755	314.508641880401	248.777094930103	14.0840211223342	198.359650974356
"QC_MA"	13870	0	0	38525.306	219.929583201154	2.252	1858.20702625187	288.714093780903	15.4139781959318	237.59072382466
"SLOPE"	13854	16	1e-05	0.21666666	0.00771002174462249	0.001785185	0.0151403693057371	30.2013328131705	4.34929829239717	18.9163956362489
"al2o3ws"	13857	13	0.6779	16.2455	11.4345651511871	12.096	2.25051230109348	6.28061368047854	-1.49703084496981	2.24110135079102
"bfiws"	13785	85	30.9144	66.7986	50.330922299601	52	7.13797820448179	2.8204086471358	-0.523639151422581	0.27419796090256
"caows"	13857	13	0.4091	41.7331	3.32268673594573	1.3675	4.96899589472199	21.0356206565346	3.78942965426226	14.3597771046022
"clayws"	13803	67	8.13	41.2155443886097	19.0612640975429	18.7449681528662	3.92819948007248	7.14837653264982	1.12364453087007	1.26257703175422
"compstrgthws"	13857	13	0.5175	224.1028	42.9502308869164	1.9783	52.2727962801755	1.99793182915026	0.708930408406368	0.50258232396322
"elevws"	13870	0	-0.4489	987.1379	129.803996012978	35.29615	197.056065170992	7.29892929092698	2.19238737456814	4.8065624001658
"fe2o3ws"	13857	13	0.6678	20.23	10.1635757451108	10.569	5.5572139581953	1.50860939011508	-0.0244882422219064	0.000599674007118758
"hydrlcondws"	13857	13	0.0012	215.1416	19.2999037814823	6.085	43.3715535021599	10.4255245937102	2.90856758630346	8.45976540409513
"k2ows"	13857	13	0.0582	5.9718	2.08397015226961	2.1187	0.528861401252375	11.5250154446577	1.26118507213589	1.59058778617841
"kffactws"	13866	4	0	0.43	0.306980636088273	0.3259	0.0693795718100817	6.14621154753187	-1.63371093182	2.66901140874818
"mgows"	13857	13	0.3565	32.5126	1.93774345096341	1.205	1.68797320630216	53.2988738764004	5.39270685964186	29.0812872740284
"na2ows"	13857	13	0.1237	3.9291	1.25473292920546	1.1804	0.537066466263522	5.93680695008829	1.36336243986751	1.8587571424415
"nws"	13857	13	3e-04	0.9136	0.426526917803276	0.5422	0.317832379278474	1.31735589718246	-0.20905334883542	0.043703302659304
"omws"	13804	66	0.153312860599293	6.99	0.96336554727489	0.608606275509415	1.24274017099283	18.5595952865416	4.00121953693523	16.0097577827522
"p2o5ws"	13857	13	0.0452	0.5522	0.142414931081764	0.1337	0.0367546383232987	13.3502297598719	2.65201816614568	7.03320035356672
"pctalkintruvolws"	13777	93	0	0	0	0	0	NA	NA	NA
"pctalluvcoastws"	13777	93	0	100	46.3257842781447	9.76	47.8113403426058	1.08177578559081	0.139971322121866	0.0195919710165432
"pctcarbresidws"	13777	93	0	100	2.34519489003411	0	12.5900232682821	45.5709073149172	6.44314696729367	41.5141428421456
"pctcoastcrsws"	13777	93	0	100	0.187437758583146	0	3.26890195001817	489.274777866622	20.9007759760088	436.842436399307
"pctcolluvsedws"	13777	93	0	100	14.5363518908325	0	33.5796602416246	5.13526001930323	1.99788927370875	3.99156155000048
"pcteolcrsws"	13777	93	0	100	0.919520940698265	0	8.07585738517448	109.323931816811	10.0195737769958	100.391858672663
"pcteolfinews"	13777	93	0	0	0	0	0	NA	NA	NA
"pctextruvolws"	13777	93	0	0	0	0	0	NA	NA	NA
"pctglaclakecrsws"	13777	93	0	1.23	0.00219714016113813	0	0.0515348008378381	549.225725287138	23.4134481168238	548.189552719201
"pctglaclakefinews"	13777	93	0	0	0	0	0	NA	NA	NA
"pctglactilclayws"	13777	93	0	0.59	0.0010590113958046	0	0.0248395680186593	549.231767282691	23.4135432027071	548.194005305033
"pctglactilcrsws"	13777	93	0	1.4	0.00252231980837628	0	0.0591611962267931	549.164030929966	23.4124629986224	548.143423661863
"pctglactilloamws"	13777	93	0	40.46	0.0726551498874937	0	1.70414021262966	549.185743092218	23.4128096182554	548.159654220673
"pcthydricws"	13777	93	0	100	0.492124555418451	0	5.1409699434556	292.10225170795	16.071097684007	258.280180768895
