"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cor.Dim.5"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"
"QC_04"	-0.505424074642746	0.418686526850523	0.546613916539111	-0.477509560871668	0.143368252060674	-0.505424074642747	0.418686526850524	0.546613916539111	-0.477509560871669	0.143368252060674	0.255453495228477	0.175298407766154	0.298786773754227	0.228015380723854	0.0205544556989329	1.96277840964637	3.51674612957087	6.93789506671517	6.31019615485276	0.740145666604068
"QC_05"	-0.528469905668598	0.393399484774957	0.549598420811649	-0.469861937726548	0.143450422933502	-0.528469905668595	0.393399484774954	0.549598420811646	-0.469861937726545	0.143450422933501	0.279280441197374	0.154763154621199	0.302058424158655	0.220770240524143	0.0205780238398002	2.14585288695482	3.10477848572549	7.01386351376431	6.10969101487305	0.740994332099695
"QC_08"	-0.491689082358967	0.412194956362242	0.556066370288151	-0.482277113027296	0.153084730005375	-0.491689082358965	0.41219495636224	0.556066370288149	-0.482277113027294	0.153084730005374	0.241758153711001	0.169904682050469	0.309209808165437	0.232591213749941	0.0234349345608184	1.85755017380177	3.40853998967312	7.17992023440632	6.43682973489818	0.84386886796717
"QC_MA"	-0.488428121696083	0.393172044211547	0.569067280034831	-0.482211048720547	0.155690526259564	-0.488428121696082	0.393172044211547	0.56906728003483	-0.482211048720546	0.155690526259564	0.238562030063563	0.154584256349486	0.32383756920624	0.232527495508169	0.02423953996698	1.83299273925133	3.10118952098442	7.51958008576755	6.43506636874735	0.872841914659304
"SLOPE"	-0.485327133133053	-0.378268885472838	-0.132242956918887	0.166404247270352	-0.185470738626345	-0.485327133133092	-0.378268885472869	-0.132242956918898	0.166404247270366	-0.18547073862636	0.235542426155186	0.143087349716886	0.0174881996546535	0.027690373509617	0.0343993948866076	1.80979159513772	2.87054451731585	0.406079869551169	0.766315359481862	1.23868826458112
"wetindexws"	0.739365609441472	0.266591236530883	-0.0612513388502192	-0.00113265690225366	0.173048299256737	0.739365609441472	0.266591236530883	-0.0612513388502192	-0.00113265690225366	0.173048299256737	0.546661504424759	0.0710708873950654	0.00375172651094438	1.28291165822285e-06	0.0299457138756492	4.20027683438059	1.42578744072324	0.0871159205773826	3.55038514815711e-05	1.07831560626428
"pctcarbresidws"	-0.248353416213709	-0.0349603446726508	-0.148212655871622	0.144980803203246	0.719415739766218	-0.24835341621368	-0.0349603446726467	-0.148212655871604	0.144980803203229	0.719415739766134	0.0616794193450056	0.00122222569963026	0.0219669913605146	0.0210194332974534	0.517559006623254	0.473914175657107	0.0245196608081666	0.5100784049969	0.581700878027348	18.6367891018435
"pctglactilloamws"	-0.124912950740688	0.44591431420872	0.480267290407128	0.741090410026687	-0.0598866075832999	-0.12491295074071	0.445914314208798	0.480267290407212	0.741090410026817	-0.0598866075833104	0.0156032452627509	0.198839575616303	0.230656670235086	0.549214995833716	0.00358640576783741	0.119887625318034	3.98901688192581	5.35589897243822	15.1992130701629	0.129142932638473
"na2ows"	0.180211902931946	-0.415883325478875	0.382045494216137	-0.0420409382316111	-0.0316635736453165	0.180211902931946	-0.415883325478875	0.382045494216137	-0.0420409382316111	-0.0316635736453165	0.032476329958353	0.172958940411368	0.145958759650852	0.00176744048739414	0.00100258189599238	0.249532069270749	3.46981294363928	3.38919472840686	0.0489129116293813	0.0361019847279623
"rckdepws"	0.721659215894317	-0.134652366035257	0.251043420786513	0.0315524043989752	0.401477832845376	0.721659215894362	-0.134652366035266	0.251043420786529	0.0315524043989771	0.401477832845401	0.520792023885265	0.0181312596788951	0.0630227991202022	0.00099555422335659	0.16118445026624	4.00150853087236	0.363739968391785	1.46340335488292	0.0275513976830345	5.80409299744654
