"eigenvalue"	"percentage of variance"	"cumulative percentage of variance"
"comp 1"	13.0148922554381	28.9219827898619	28.9219827898619
"comp 2"	4.98467621225602	11.0770582494577	39.9990410393196
"comp 3"	4.30659113291677	9.57020251759268	49.5692435569122
"comp 4"	3.61344362565499	8.02987472367764	57.5991182805899
"comp 5"	2.777082488808	6.17129441957325	63.7704127001631
"comp 6"	2.19025929015237	4.86724286700518	68.6376555671683
"comp 7"	1.66293695940769	3.69541546535036	72.3330710325187
"comp 8"	1.41191197503076	3.13758216673498	75.4706531992537
"comp 9"	1.34294132319422	2.98431405154267	78.4549672507963
"comp 10"	1.22574039734506	2.72386754965565	81.178834800452
"comp 11"	1.02124351892307	2.26943004205124	83.4482648425032
"comp 12"	0.969041052543775	2.15342456120836	85.6016894037116
"comp 13"	0.903818771856004	2.00848615967998	87.6101755633916
"comp 14"	0.844667364114861	1.87703858692189	89.4872141503134
"comp 15"	0.635893620288819	1.41309693397513	90.9003110842886
"comp 16"	0.56811776060686	1.26248391245967	92.1627949967482
"comp 17"	0.443577828349243	0.985728507442747	93.148523504191
"comp 18"	0.414423950093023	0.920942111317815	94.0694656155088
"comp 19"	0.345631550351542	0.768070111892304	94.8375357274011
"comp 20"	0.299510124932288	0.665578055405075	95.5031137828062
"comp 21"	0.276813085173491	0.615140189274414	96.1182539720806
"comp 22"	0.237375774955566	0.527501722123473	96.6457556942041
"comp 23"	0.217704235993219	0.483787191096034	97.1295428853001
"comp 24"	0.188236914431736	0.41830425429274	97.5478471395928
"comp 25"	0.154901843106186	0.344226318013741	97.8920734576066
"comp 26"	0.149738735425731	0.332752745390509	98.2248262029971
"comp 27"	0.124936775568046	0.277637279040097	98.5024634820372
"comp 28"	0.112462073678805	0.24991571928623	98.7523792013234
"comp 29"	0.107721504212015	0.239381120471142	98.9917603217946
"comp 30"	0.095234977248333	0.21163328277407	99.2033936045686
"comp 31"	0.0884165069302047	0.196481126511563	99.3998747310802
"comp 32"	0.0679627604262844	0.151028356502852	99.5509030875831
"comp 33"	0.0612869367244147	0.136193192720919	99.687096280304
"comp 34"	0.0588401439290749	0.130755875397942	99.8178521557019
"comp 35"	0.0329866100642207	0.0733035779204893	99.8911557336224
"comp 36"	0.0219990152079593	0.0488867004621311	99.9400424340845
"comp 37"	0.0177660039376618	0.039480008750359	99.9795224428349
"comp 38"	0.00765352139535275	0.0170078253230058	99.9965302681579
"comp 39"	0.000847295452560598	0.00188287878346797	99.9984131469414
"comp 40"	0.000407981662001923	0.000906625915559815	99.9993197728569
"comp 41"	0.000202507241891659	0.000450016093092569	99.99976978895
"comp 42"	8.95485661828202e-05	0.000198996813739597	99.9999687857638
"comp 43"	1.00492164834661e-05	2.23315921854799e-05	99.9999911173559
"comp 44"	3.71053659725627e-06	8.24563688279159e-06	99.9999993629928
"comp 45"	2.86653227152565e-07	6.37007171450134e-07	100
