"COMID"	"QC_04"	"QC_05"	"QC_08"	"QC_MA"	"SLOPE"	"wetindexws"	"pctcarbresidws"	"pctglactilloamws"	"na2ows"	"rckdepws"	"pctglactilcrsws"	"pctcolluvsedws"	"sio2ws"	"k2ows"	"clayws"	"pcthydricws"	"pcteolcrsws"	"hydrlcondws"	"runoffws"	"pctglaclakecrsws"	"fe2o3ws"	"bfiws"	"p2o5ws"	"al2o3ws"	"omws"	"compstrgthws"	"kffactws"	"pctglactilclayws"	"wtdepws"	"caows"	"mgows"	"pctalluvcoastws"	"permws"	"pctsilicicws"	"elevws"	"pctcoastcrsws"	"pctnoncarbresidws"	"sandws"	"sws"	"nws"	"precip9120ws"	"tmax9120ws"	"tmean9120ws"	"tmin9120ws"	"wsareasqkmws"
14363542	2.28662485533174	2.0566685918401	1.54266362523881	2.00984166996131	-3.38356022252736	693.6213	0	0	0.5762	113.451270752706	0	82.38	1265.67700312505	1.3055	24.218017694119	0	0	-1.08092190761869	0.499998100775512	0	2.6514	36.3405	-2.90180846615274	6.5705	-0.483769212815642	101.3716	0.2907	0	160.895110718239	1.46471802399409	0.634689851684213	0	10.7605699333685	0	8.2650495763272	0	17.62	25.803141003261	-0.451364940184021	0.0641	1031.02573429121	137.13528604096	10.7064106930591	4.82172329597332	4.229524991888
14363722	2.28327408445017	2.05367374896184	1.53938978207252	2.00621352181074	-6.83772230820884	693.9656	0	0	0.5771	113.429798791171	0	82.2	1266.37658248005	1.3077	24.1986484154289	0	0	-1.07883394935705	0.499998100633366	0	2.6515	36.3412	-2.90180846615274	6.5831	-0.485258066445139	101.2137	0.2905	0	160.811388614799	1.46432073044046	0.634542996016652	0	10.7991428271285	0	8.26971912729537	0	17.8	25.8347241867044	-0.453457336520635	0.0638	1031.18663055546	136.943651932091	10.6969113317508	4.81429265809702	4.22374663107625
14363752	-0.677780705264013	-0.714442690989976	-0.928117992690194	-0.943095148659718	-6.83772230820884	697.3001	0	0	0.5882	98.3568167881271	0	93.97	1477.99431762005	1.5656	20.5059016110319	0	0	0.214631945393404	0.49999811703403	0	2.8144	39.6498	-2.84794962032031	7.6265	-0.486606812362035	75.4312	0.2977	0	156.678526379855	1.33596580667099	0.551770506499529	3.3	11.8338181004191	0	8.83681938583507	0	2.72	28.4522816316334	-0.295163393787739	0.1227	1096.95975919314	124.608615603662	10.087111171955	4.35612067518728	5.56205101908058
8426526	3.48214796312508	3.21989193350916	2.65083379833868	3.243684046356	-4.65455302006283	650.8016	0	0	0.5927	99.7808889783483	0	93.85	1497.53126884505	1.3893	20.2600541586791	0	0	0.671265432947251	0.499996043362866	0	2.842	39.812	-3.05923041463847	6.6362	-0.32409305090824	85.298	0.2939	0	162.913863708213	1.3976969069494	0.505660190815411	6.15	12.1728589342444	0	9.11186871900306	0	0	30.96207470323	-0.351152291626132	0.0614	1033.98030903451	135.298959374819	10.1982250155741	3.91643352248423	5.61828240597007
14363030	2.2866091421059	2.05665715666836	1.54265117645542	2.00982468708979	-3.92703403925827	693.6084	0	0	0.5762	113.449721315312	0	82.38	1265.66190642005	1.3055	24.2180803702424	0	0	-1.08092190761869	0.499998100774772	0	2.6514	36.3404	-2.90180846615274	6.5703	-0.483763304991873	101.3724	0.2907	0	160.898063655847	1.46472377537496	0.634689851684213	0	10.7609055488079	0	8.2650986366082	0	17.62	25.8029723766756	-0.451364940184021	0.0641	1031.02725598394	137.133582785576	10.7063262356293	4.82165701704284	4.22949735274891
14363488	1.55395580732979	1.37663169660855	0.951628893836687	1.3040379019046	-4.70472980257745	675.3081	0	0	0.5446	94.011966227453	0	100	1494.14500768005	1.2442	22.031293335039	0	0	-1.26121944150771	0.499998085832996	0	3.0099	34.0137	-2.01273995036084	6.0734	-0.165020926504968	93.741	0.3177	0	171.564255149034	1.39601566111089	0.634716540035201	0	8.30337629525393	0	7.80875341108531	0	0	27.6756709735193	0.0228818133324428	0.1848	1011.32468832177	153.258930333325	11.4846765215118	5.4333390121076	3.31713421374834
14363254	1.52173940054356	1.34867473219159	0.921530413501294	1.27116757894811	-4.49405157718025	678.3043	0	0	0.541	95.5520289067022	0	100	1497.87065312505	1.233	22.3906442616337	0	0	-1.27408836769679	0.499998085260588	0	3.0017	34.1185	-2.06704941538762	6.0211	-0.176965028373833	96.6686	0.3186	0	171.462235884303	1.39736342241401	0.640339519493727	0	8.1900370104015	0	7.85635738815757	0	0	27.2181443931873	0.00813156224108868	0.1787	1013.31936810374	151.909344586837	11.428624551493	5.39842765411606	3.25503216188484
14363248	1.1754828207748	1.02743115776694	0.632254776684815	0.925415237084298	-3.97328710412989	672.9759	0	0	0.5752	87.8267840909091	0	100	1598.12893124506	1.322	20.8013617424242	0	0	-1.22767829326974	0.499998058376567	0	3.152	33.7335	-1.86899281525259	6.5305	-0.10600095008748	87.1895	0.3169	0	173.616435606061	1.35553912159365	0.576055621502639	0	8.85423106060606	0	7.70006021911135	0	0	29.2292439393939	0.0747067564722328	0.2072	1008.0345339735	155.743297233143	11.6004113902856	5.52397465282989	2.71523818721331
14363192	1.05426823954723	0.920697134469972	0.523746466811694	0.803047210491197	-4.20267422493123	663.9564	0	0	0.5775	87.9805194805195	0	100	1605.06877780506	1.3358	20.8966133866134	0	0	-1.23507701534265	0.499998035792313	0	3.152	33.6145	-1.92185807499817	6.5998	-0.105291245813458	88.3796	0.3174	0	173.856053946054	1.35283552776415	0.580378498594444	0	8.84839160839161	0	7.82379892783778	0	0	29.0753620064146	0.0598283816413612	0.2004	1012.77764751682	152.448933843917	11.4638932920737	5.43830485714596	2.47239224128883
14363174	1.01397417702096	0.884738737769688	0.486713775982627	0.762453482363622	-3.71212996247916	660.9979	0	0	0.5783	87.9224199579341	0	100	1605.04044448006	1.341	20.8849912362702	0	0	-1.23657200642957	0.499998026701624	0	3.1503	33.5931	-1.93700012816512	6.6238	-0.104958022817492	88.5332	0.3178	0	173.862903715821	1.35245912243895	0.582236704683301	0	8.85232180415985	0	7.85787556060785	0	0	29.0840546856742	0.055110637854529	0.1983	1014.10297221351	151.45309942349	11.4212729382619	5.41007293928132	2.39261280381745
