"col"	"V2"
"QC_04"	"0"
"QC_05"	"0"
"QC_08"	"0"
"QC_MA"	"0"
"SLOPE"	"0.1"
"wetindexws"	NA
"pctcarbresidws"	NA
"pctglactilloamws"	NA
"na2ows"	NA
"rckdepws"	NA
"pctglactilcrsws"	NA
"pctcolluvsedws"	NA
"sio2ws"	"2"
"k2ows"	NA
"clayws"	NA
"pcthydricws"	NA
"pcteolcrsws"	NA
"hydrlcondws"	"0"
"runoffws"	"-2"
"pctglaclakecrsws"	NA
"fe2o3ws"	NA
"bfiws"	NA
"p2o5ws"	"-0.7"
"al2o3ws"	NA
"omws"	"-1.2"
"compstrgthws"	NA
"kffactws"	NA
"pctglactilclayws"	NA
"wtdepws"	NA
"caows"	"-0.5"
"mgows"	"-1"
"pctalluvcoastws"	NA
"permws"	NA
"pctsilicicws"	NA
"elevws"	"0.1"
"pctcoastcrsws"	NA
"pctnoncarbresidws"	NA
"sandws"	NA
"sws"	"0"
"nws"	NA
"precip9120ws"	NA
"tmax9120ws"	"2"
"tmean9120ws"	NA
"tmin9120ws"	NA
"wsareasqkmws"	"-0.1"
