"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	67353	0	0	14116.857	151.357860303179	2.904	906.58027709693	135.157628617429	10.6353839890163	113.111392593825
"QC_05"	67353	0	0	8904.875	98.6128565616973	1.996	578.723464868757	131.032874396742	10.4269160629044	108.720578582853
"QC_08"	67353	0	0	7951.775	72.5686662212522	1.196	438.08749313658	136.240197233385	10.6959809700189	114.404008911007
"QC_MA"	67353	0	0	9238.102	108.383961931911	2.456	614.880232800732	121.620427913336	10.0664974235434	101.334370378207
"SLOPE"	67157	196	1e-05	1.68	0.014739407871108	0.00404592	0.03479557600852	215.639882719582	8.8303307177752	77.9747405852843
"al2o3ws"	67343	10	1.079	16.9349	12.872021929525	13.7809	2.51309699317942	9.19203005969851	-2.2926541643224	5.25626311718483
"bfiws"	67300	53	25	68	45.1859507800892	43	11.7450447078823	1.74364174770899	0.222720747136572	0.0496045312050727
"caows"	67343	10	0.4375	49.7096	5.65372235421647	4.1184	6.50915475287237	25.4571077934383	4.31520675096751	18.6210093035956
"clayws"	67329	24	2.71	53.35	27.4081869728806	27.5206810035842	9.13445665395917	1.90181911622937	-0.102313899760689	0.0104681340842404
"compstrgthws"	67343	10	0.3557	224.0067	82.6350747382802	109.1461	56.8184666444607	1.52619309805114	-0.372104069317206	0.138461438402424
"elevws"	67353	0	-0.0366	1747.0697	258.651238396211	136.5905	321.987164294457	5.55180716881349	1.82925646869844	3.34617922827508
"fe2o3ws"	67343	10	0.7203	22.0655	5.23800189923229	5.0284	2.49072057512519	8.80717999500387	1.81808426228069	3.30543038475271
"hydrlcondws"	67343	10	0	244.6341	4.95685700369749	0.7469	16.1414898461952	117.717222592437	9.54781182046626	91.1607105590352
"k2ows"	67343	10	0.1149	11.8828	2.44508173975023	2.3515	0.784982787945485	6.03183222272944	0.658696717601402	0.433881365778861
"kffactws"	67335	18	0	0.39	0.235192816514443	0.2455	0.0697500572356866	3.04864081796288	-0.146817723831181	0.0215554440309688
"mgows"	67343	10	0.175	33.8127	2.45439838884517	2.3783	1.19242552927177	21.7486317177618	1.60555230543161	2.57779820547676
"na2ows"	67343	10	0.1498	4.6	1.94139208826456	1.9579	0.929509211024419	1.92290717266542	0.206503948764567	0.0426438808553588
"nws"	67343	10	3e-04	1.17	0.283740808992768	0.0342	0.359309293619873	2.01025715312157	0.84393955987948	0.71223398072957
"omws"	67329	24	0.222191780821918	55.71	1.29424182660685	0.491514420314834	3.94453835660424	105.454432800989	9.24745177028124	85.5153642436776
"p2o5ws"	67343	10	0.025	0.7139	0.160438981037376	0.1363	0.0901593414237458	18.573698286652	3.89615292465674	15.1800076123113
"pctalkintruvolws"	67263	90	0	0	0	0	0	NA	NA	NA
"pctalluvcoastws"	67263	90	0	100	31.1341438829669	0	44.5857427067044	1.72526858342141	0.81196215408036	0.659282539658818
"pctcarbresidws"	67263	90	0	44.84	0.00727636293355931	0	0.200786225937444	37213.6489527839	170.632397167704	29115.4149631971
"pctcoastcrsws"	67263	90	0	100	2.35063749758411	0	13.9326226975447	42.8369277814806	6.36645666916391	40.5317705203417
"pctcolluvsedws"	67263	90	0	100	8.06741120675557	0	24.9478649709129	10.8783594521152	3.0698385301479	9.42390860118064
"pcteolcrsws"	67263	90	0	100	0.669224536520821	0	7.58742249546994	153.453616713415	12.2218829672157	149.374423264317
"pcteolfinews"	67263	90	0	0	0	0	0	NA	NA	NA
"pctextruvolws"	67263	90	0	0	0	0	0	NA	NA	NA
"pctglaclakecrsws"	67263	90	0	0	0	0	0	NA	NA	NA
"pctglaclakefinews"	67263	90	0	0	0	0	0	NA	NA	NA
"pctglactilclayws"	67263	90	0	0	0	0	0	NA	NA	NA
"pctglactilcrsws"	67263	90	0	0	0	0	0	NA	NA	NA
"pctglactilloamws"	67263	90	0	0	0	0	0	NA	NA	NA
"pcthydricws"	67263	90	0	100	0.344758188008266	0	4.06216498364414	288.029079305475	15.6474086533466	244.841397564825
"pctnoncarbresidws"	67263	90	0	100	12.2295899677386	0	29.4134967544636	6.87969819209156	2.34260146025007	5.48778160156576
"pctsallakews"	67263	90	0	0	0	0	0	NA	NA	NA
