"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"
"QC_04"	-0.117344378442975	0.623392628345641	0.749846129422142	-0.076131681119315	-0.117344378442976	0.623392628345643	0.749846129422144	-0.0761316811193152	0.0137697031521683	0.388618369075689	0.56226921780937	0.00579603287005309	0.114829456147106	6.48925596267226	13.3541582927078	0.197981068054895
"QC_05"	-0.146576511517348	0.637288690821974	0.731076612036993	-0.0729829270327011	-0.146576511517348	0.637288690821976	0.731076612036994	-0.0729829270327013	0.0214846737285954	0.406136875449588	0.53447301266749	0.0053265076382606	0.17916678177366	6.78178478011937	12.6939853512698	0.181943010826254
"QC_08"	-0.0539972987881035	0.631411790834399	0.728454429067827	-0.0634169490569701	-0.0539972987881035	0.631411790834399	0.728454429067827	-0.0634169490569701	0.00291570827641173	0.398680849604703	0.530645855228534	0.00402170942769434	0.0243149174651055	6.65728201848507	12.6030885626282	0.137373673640687
"QC_MA"	-0.079098137752085	0.631890638069934	0.747813952665775	-0.0730835676586652	-0.0790981377520859	0.631890638069941	0.747813952665784	-0.0730835676586661	0.00625651539584796	0.399285778480438	0.559225707801623	0.00534120786171882	0.0521748546313486	6.66738328653147	13.2818734990152	0.182445141508763
"SLOPE"	-0.514677265471652	-0.0100100399093421	-0.487992364594678	-0.0431939072227057	-0.514677265471691	-0.0100100399093429	-0.487992364594714	-0.043193907222709	0.264892687593417	0.000100200898986637	0.238136547902741	0.00186571362116399	2.20901517756417	0.00167318205457092	5.65585498057607	0.0637291029371227
"wetindexws"	0.897348096255829	-0.182198610591597	0.160628380957028	0.141245561933396	0.897348096255825	-0.182198610591596	0.160628380957027	0.141245561933395	0.805233605853953	0.0331963337015081	0.0258014767688758	0.0199503087658806	6.71507119723373	0.554321472049142	0.612797204690679	0.681463257032541
"pctcarbresidws"	-0.0254523001270289	0.0170712874621533	0.0615170044574251	-0.0168524896142775	-0.0254523001270507	0.017071287462168	0.0615170044574778	-0.016852489614292	0.000647819581757468	0.000291428855615974	0.00378434183742135	0.000284006406199819	0.0054023510479828	0.00486635884838771	0.089879897973872	0.00970109950968262
"na2ows"	-0.807923966804877	-0.159592534109712	0.112818528262472	0.131048049343815	-0.807923966805035	-0.159592534109744	0.112818528262494	0.131048049343841	0.652741136137984	0.0254697769435697	0.0127280203193152	0.0171735912368258	5.44339328446139	0.425301311134723	0.302296467089362	0.586616054745131
"rckdepws"	0.563438473440817	-0.202103593193846	0.101039251667077	-0.0649621482128563	0.563438473440757	-0.202103593193824	0.101039251667066	-0.0649621482128494	0.31746291335325	0.0408458623818548	0.0102089303774407	0.00422008070042821	2.64741318562827	0.682055397027246	0.242466896535367	0.14414964564222
"pctcolluvsedws"	-0.416508822952078	0.578271101320452	-0.31644126556532	0.171415793488391	-0.416508822952647	0.578271101321243	-0.316441265565752	0.171415793488625	0.1734795995974	0.334397466623283	0.100135074552855	0.0293833742573349	1.44669553542234	5.58386048333984	2.37825510248837	1.00367819661015
"sio2ws"	-0.445364136929756	-0.238989479258325	0.137469283773343	0.622013344349434	-0.445364136929604	-0.238989479258243	0.137469283773296	0.622013344349222	0.198349214463051	0.0571159711961264	0.018897803981143	0.386900600548504	1.65409030044536	0.953738130109713	0.448831729988962	13.2157625474308
"k2ows"	-0.349031491848685	-0.249311656306581	0.157084294618266	0.582959256237908	-0.349031491848629	-0.249311656306541	0.157084294618241	0.582959256237815	0.12182298230208	0.0621563019703107	0.0246754756157102	0.339841494433346	1.01591636721435	1.03790295383611	0.586054147875961	11.6083161613766
"clayws"	-0.312311434968866	-0.722229989552036	0.427994661557365	-0.110050853598295	-0.312311434968837	-0.72222998955197	0.427994661557326	-0.110050853598285	0.0975384324122944	0.521616157808239	0.18317943032157	0.0121111903777111	0.813400624804567	8.71008946472287	4.35059759809241	0.413694411359317
"pcthydricws"	0.143616762735685	0.047022837490668	0.0844174261420819	0.139321408602278	0.143616762735679	0.0470228374906661	0.0844174261420785	0.139321408602272	0.0206257745386763	0.00221114724567359	0.00712630183645327	0.0194104548949214	0.172004178065107	0.0369223423032284	0.169253019285655	0.66302291199619
"pcteolcrsws"	0.128750069282827	0.0766212666402236	-0.0335785073963362	0.203066480350889	0.128750069282753	0.0766212666401798	-0.033578507396317	0.203066480350773	0.0165765803403138	0.00587081850154554	0.00112751615896452	0.0412359954420508	0.138236800330695	0.0980325352545153	0.0267790389149851	1.40854039357071
