"eigenvalue"	"percentage of variance"	"cumulative percentage of variance"
"comp 1"	11.9914380980156	29.2474099951644	29.2474099951644
"comp 2"	5.9886429401323	14.6064461954468	43.8538561906112
"comp 3"	4.21044296079971	10.2693730751228	54.123229265734
"comp 4"	2.92756925043255	7.14041280593411	61.2636420716681
"comp 5"	2.16404588412467	5.27816069298777	66.5418027646559
"comp 6"	1.6426346218652	4.00642590698887	70.5482286716447
"comp 7"	1.41346257453702	3.44746969399324	73.995698365638
"comp 8"	1.10943588203636	2.70594117569883	76.7016395413368
"comp 9"	1.07595558975259	2.62428192622622	79.325921467563
"comp 10"	1.00333047587559	2.44714750213595	81.773068969699
"comp 11"	0.977768350784116	2.38480085557137	84.1578698252703
"comp 12"	0.860073064354449	2.09773918135262	86.255609006623
"comp 13"	0.779127976202961	1.90031213708067	88.1559211437036
"comp 14"	0.612725030488058	1.49445129387353	89.6503724375772
"comp 15"	0.56498614517466	1.37801498823108	91.0283874258082
"comp 16"	0.467327392184598	1.13982290776748	92.1682103335757
"comp 17"	0.439205308882662	1.07123246068958	93.2394427942653
"comp 18"	0.340223889917594	0.829814365652791	94.0692571599181
"comp 19"	0.313274154264273	0.764083303083706	94.8333404630018
"comp 20"	0.281164876628213	0.685767991776231	95.519108454778
"comp 21"	0.24607004514818	0.600170841824918	96.119279296603
"comp 22"	0.227872389976464	0.555786317015849	96.6750656136188
"comp 23"	0.209761894322041	0.511614376395297	97.1866799900141
"comp 24"	0.187071536830942	0.456272041051145	97.6429520310652
"comp 25"	0.171801855745313	0.419028916452044	98.0619809475173
"comp 26"	0.158833061600133	0.387397711219894	98.4493786587372
"comp 27"	0.109899930417061	0.268048610773358	98.7174272695106
"comp 28"	0.107043200630612	0.261080977147872	98.9785082466584
"comp 29"	0.0893518940169995	0.217931448821982	99.1964396954804
"comp 30"	0.0798429692357063	0.19473894935541	99.3911786448358
"comp 31"	0.0584383725665316	0.142532616015952	99.5337112608518
"comp 32"	0.0464990039678723	0.113412204799705	99.6471234656515
"comp 33"	0.0379794156525684	0.092632721103839	99.7397561867553
"comp 34"	0.0330791308676373	0.0806808069942492	99.8204369937496
"comp 35"	0.0255178722550162	0.0622387128171219	99.8826757065667
"comp 36"	0.0212466293677743	0.0518210472384816	99.9344967538052
"comp 37"	0.0173464968785252	0.042308528972019	99.9768052827772
"comp 38"	0.00772414979799007	0.0188393897511981	99.9956446725284
"comp 39"	0.00147975348776569	0.00360915484820954	99.9992538273766
"comp 40"	0.000305886001882384	0.000746063419225437	99.9999998907958
"comp 41"	4.47737176975566e-08	1.09204189506252e-07	100
