"col"	"V2"
"QC_04"	"0"
"QC_05"	"0"
"QC_08"	"0"
"QC_MA"	"0"
"SLOPE"	"0.1"
"wetindexws"	NA
"pctcarbresidws"	NA
"na2ows"	NA
"rckdepws"	"2"
"pctcolluvsedws"	NA
"sio2ws"	"2"
"k2ows"	NA
"clayws"	NA
"pcthydricws"	NA
"pcteolcrsws"	NA
"hydrlcondws"	"0.1"
"runoffws"	"-2"
"fe2o3ws"	"0.2"
"bfiws"	NA
"p2o5ws"	"-1.3"
"al2o3ws"	"2"
"omws"	"-1.1"
"compstrgthws"	NA
"kffactws"	NA
"wtdepws"	NA
"caows"	"-0.1"
"mgows"	NA
"pctalluvcoastws"	NA
"permws"	NA
"pctsilicicws"	NA
"elevws"	"0.2"
"pctcoastcrsws"	NA
"pctnoncarbresidws"	NA
"sandws"	NA
"sws"	"-0.2"
"nws"	NA
"precip9120ws"	"-2"
"tmax9120ws"	NA
"tmean9120ws"	NA
"tmin9120ws"	NA
"wsareasqkmws"	"-0.1"
