"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"coord.Dim.6"	"coord.Dim.7"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cor.Dim.5"	"cor.Dim.6"	"cor.Dim.7"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"cos2.Dim.6"	"cos2.Dim.7"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"contrib.Dim.6"	"contrib.Dim.7"
"QC_04"	-0.121886300770259	0.839223909181005	0.101303724717605	0.0878341128124432	0.433405375888801	0.0530467276956968	0.0272052583769123	-0.121886300770258	0.839223909180996	0.101303724717604	0.0878341128124423	0.433405375888796	0.0530467276956963	0.027205258376912	0.0148562703154578	0.704296769741033	0.01026244464166	0.00771483137354884	0.187840219849309	0.00281395531922135	0.000740126083354539	0.161822114657113	11.2327133149483	0.208930469851176	0.212056301805011	6.01775958163281	0.177048026609258	0.0553238972387568
"QC_05"	-0.0731593707720469	0.825110907131569	0.159539942530112	0.0721686718606721	0.451745714472535	0.049711215748287	0.0205765989199689	-0.0731593707720449	0.825110907131546	0.159539942530108	0.0721686718606702	0.451745714472522	0.0497112157482857	0.0205765989199683	0.00535229353176153	0.680808009067443	0.0254529932625101	0.00520831719813309	0.20407419054429	0.00247120497117261	0.000423396423113243	0.0582999258349572	10.8580949351613	0.518190940574469	0.143160158684781	6.53784059929814	0.15548291065765	0.0316485808707195
"QC_08"	-0.0181168850254468	0.776770650024096	0.304833579371096	0.120781755055045	0.440224359093712	0.0221961362314282	-0.0198983431868365	-0.018116885025447	0.776770650024102	0.304833579371098	0.120781755055046	0.440224359093715	0.0221961362314284	-0.0198983431868367	0.000328221523025265	0.603372642738866	0.0929235111121957	0.014588232354177	0.193797486339472	0.000492668463604128	0.00039594406158113	0.00357515714268207	9.62309101667503	1.89180585277689	0.400984344713662	6.20861006897912	0.0309976418807741	0.0295965364116434
"QC_MA"	-0.146080448053877	0.856185790633745	0.0854669330254586	0.0814060534325053	0.404849432812563	0.0608099418468726	0.034787686236082	-0.146080448053876	0.85618579063374	0.0854669330254581	0.0814060534325048	0.404849432812561	0.0608099418468722	0.0347876862360818	0.0213394973036211	0.733054108083123	0.00730459664077815	0.00662694553545583	0.163903063248653	0.00369784902741998	0.00121018311366008	0.232440747648396	11.6913593732234	0.148712403478965	0.182153762599421	5.25089477703338	0.232660720847844	0.0904603252418228
"SLOPE"	0.263267196662263	-0.193699594814057	-0.426067579064323	-0.513137936569518	-0.15883809770769	-0.22584358979757	-0.0739992526803516	0.263267196662276	-0.193699594814066	-0.426067579064344	-0.513137936569542	-0.158838097707697	-0.225843589797581	-0.0739992526803551	0.0693096168384133	0.0375195330311334	0.181533581929751	0.263310541946847	0.0252295412834	0.051005327052658	0.00547588939725105	0.754955888975378	0.598392859879751	3.6957954844773	7.2375735836505	0.80826839917544	3.20914566039757	0.409318829747499
"bfiws"	0.604269731680272	-0.0736299467766886	0.515718990187758	-0.0681390627290003	-0.135045992267433	0.0202997421666805	-0.138814067768592	0.604269731680293	-0.0736299467766912	0.515718990187776	-0.0681390627290027	-0.135045992267438	0.0202997421666812	-0.138814067768597	0.365141908624974	0.00542136906233838	0.265966076840299	0.00464293186958696	0.0182374200274968	0.000412079532033733	0.0192693454104646	3.97731291562066	0.0864645232920253	5.41473492321067	0.127619505096745	0.5842646968938	0.0259271593455224	1.44036983606196
"elevws"	0.619811314566324	-0.198716965530475	0.612678792008153	-0.250758585180575	0.156754391888062	-0.0417435785175849	-0.0303983629208332	0.619811314566326	-0.198716965530475	0.612678792008155	-0.250758585180576	0.156754391888062	-0.0417435785175851	-0.0303983629208333	0.384166065664437	0.0394884323896402	0.375375302176572	0.062879868041764	0.0245719393761962	0.00174252634745379	0.000924060468266694	4.18453378979224	0.629794511839989	7.64216918997091	1.72836859670589	0.78720107833682	0.109636016259381	0.0690728614198745
"na2ows"	0.824541073533715	-0.0920107654109313	0.100854788315434	-0.094083298732244	0.0828881367951585	0.227236006593959	0.323428064649728	0.82454107353381	-0.0920107654109419	0.100854788315446	-0.0940832987322548	0.0828881367951681	0.227236006593985	0.323428064649765	0.679867981944288	0.00846598095150738	0.0101716883261535	0.00885166710034271	0.0068704432213745	0.0516362026927818	0.104605713003093	7.40547069955965	0.135022537435516	0.207082785376045	0.243304318554903	0.220105553318923	3.24883900106846	7.81920249390306
"sio2ws"	-0.685170662319153	-0.231165847593914	0.239104069554784	-0.504390647189748	0.201820967558868	0.139818505477921	0.0776119525500297	-0.685170662319195	-0.231165847593928	0.239104069554798	-0.504390647189779	0.201820967558881	0.13981850547793	0.0776119525500344	0.469458836502924	0.0534376490938193	0.0571707560776659	0.254409924972524	0.0407317029464027	0.0195492144740819	0.0060236151786288	5.11358638838951	0.85226827423375	1.16392471249617	6.99292378795561	1.30490475297856	1.22999459897415	0.450260941538244
"k2ows"	-0.459776025079102	-0.468821636167137	0.516190341698516	-0.264854462754769	0.21140539339213	0.15548976700597	0.259050147947942	-0.45977602507916	-0.468821636167195	0.51619034169858	-0.264854462754802	0.211405393392156	0.155489767005989	0.259050147947974	0.211393993237592	0.219793726538486	0.266452468862896	0.0701478864411349	0.0446922403552923	0.0241770676435768	0.0671069791518672	2.30261177840282	3.50545398573686	5.42463725324523	1.92814342373607	1.43178685501104	1.52116918355232	5.01619886408172
