"eigenvalue"	"percentage of variance"	"cumulative percentage of variance"
"comp 1"	9.1806180798819	19.1262876664121	19.1262876664121
"comp 2"	6.27005025405376	13.0626046959395	32.1888923623516
"comp 3"	4.91189468389666	10.2331139247801	42.4220062871317
"comp 4"	3.63810521445522	7.57938586344498	50.0013921505767
"comp 5"	3.12143111237996	6.50298148412201	56.5043736346987
"comp 6"	1.58937400947809	3.31119585307788	59.8155694877766
"comp 7"	1.33780539747671	2.78709457807522	62.6026640658518
"comp 8"	1.32123299841032	2.75256874668694	65.3552328125387
"comp 9"	1.2143451553469	2.52988574030492	67.8851185528436
"comp 10"	1.15777232874727	2.41202568488908	70.2971442377327
"comp 11"	1.09831209643145	2.28815020089783	72.5852944386305
"comp 12"	1.02598436554758	2.13746742822317	74.7227618668537
"comp 13"	1.0184106716837	2.1216888993401	76.8444507661938
"comp 14"	0.998015329882058	2.07919860392002	78.9236493701138
"comp 15"	0.961186833596562	2.00247256999194	80.9261219401058
"comp 16"	0.927008886683616	1.93126851392334	82.8573904540291
"comp 17"	0.907223994972962	1.89004998952616	84.7474404435553
"comp 18"	0.886139242623144	1.84612342213072	86.593563865686
"comp 19"	0.854416862179136	1.78003512953907	88.3735989952251
"comp 20"	0.628379538746851	1.30912403905535	89.6827230342804
"comp 21"	0.551035034541217	1.14798965529369	90.8307126895741
"comp 22"	0.509292338660766	1.06102570554279	91.8917383951169
"comp 23"	0.431158140842082	0.898246126753936	92.7899845218708
"comp 24"	0.401595978651139	0.836658288856164	93.626642810727
"comp 25"	0.355641621453621	0.740920044694712	94.3675628554217
"comp 26"	0.336222283482043	0.700463090587277	95.068025946009
"comp 27"	0.300497280376425	0.626036000783939	95.6940619467929
"comp 28"	0.278266609615097	0.579722103364525	96.2737840501574
"comp 29"	0.256826974329717	0.535056196520004	96.8088402466774
"comp 30"	0.220787947996825	0.459974891659847	97.2688151383373
"comp 31"	0.176965122175283	0.368677337865008	97.6374924762023
"comp 32"	0.170385424613701	0.354969634611718	97.992462110814
"comp 33"	0.134669082881075	0.280560589335447	98.2730227001495
"comp 34"	0.126418963688557	0.263372841017709	98.5363955411672
"comp 35"	0.105992751635855	0.2208182325746	98.7572137737418
"comp 36"	0.101158834222293	0.210747571296349	98.9679613450381
"comp 37"	0.0942796210151751	0.19641587711486	99.164377222153
"comp 38"	0.0844087314074639	0.175851523765471	99.3402287459185
"comp 39"	0.0750559375743708	0.156366536613202	99.4965952825317
"comp 40"	0.0720355631661701	0.150074089929454	99.6466693724611
"comp 41"	0.0472403897686806	0.0984174786847072	99.7450868511458
"comp 42"	0.0347139006150996	0.0723206262814251	99.8174074774273
"comp 43"	0.0305535343874927	0.0636531966405813	99.8810606740678
"comp 44"	0.0251058940767773	0.0523039459932625	99.9333646200611
"comp 45"	0.0167049218390621	0.0348019204980305	99.9681665405591
"comp 46"	0.0148793592977668	0.0309986652036669	99.9991652057628
"comp 47"	0.000400681910817336	0.000834753980869076	99.9999999597437
"comp 48"	1.93230408078993e-08	4.02563350164388e-08	100
