"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	1740	0	-2.99999999956571	4.05656166122888	1.29863033099681	1.17762225568715	0.956265578886138	3.56452619835535	0.209672668690393	0.0439626279957513
"QC_05"	1740	0	-2.99999999956571	3.24290401713738	0.773449936705378	0.667312812684505	0.851539968110739	3.57991419418425	0.228670071178179	0.0522900014526333
"QC_08"	1740	0	-9.3690426555198	7.28531899495828	0.587539841835775	0.200400667295339	1.91103848481867	4.08271388206362	0.741871770995339	0.550373724599761
"QC_MA"	1740	0	-2.99999999956571	3.20029524183712	0.785154547010007	0.662805011953425	0.83403649835674	3.5432249764013	0.214239495560705	0.0458985614581053
"SLOPE"	1733	7	-6.83772230820884	-0.928237003089122	-4.81785187664432	-4.38862500412798	1.42479517315927	1.65726722410643	-0.344263382584855	0.118517276588766
"al2o3ws"	1723	17	8.7641	16.43	13.5748362739408	14.2833	1.56824648017832	4.45572555052558	-1.65615724725778	2.74285682764446
"bfiws"	1736	4	50.2648	68	58.6104138824885	56.46285	4.98177556819907	1.68108260063352	0.431249065136964	0.185975756181505
"caows"	1723	17	0.45	6.9105	2.64222211259431	2.1328	1.57104037700972	2.89734646787338	1.06439368525568	1.13293391721216
"clayws"	1737	3	1.14	6.72	5.22588131973703	5.45345459333383	1.07337487049863	3.26870689036609	-0.913820651121199	0.835068182415573
"compstrgthws"	1723	17	77.5523	233.7508	160.143457515961	167.0622	30.9179526701516	3.66241575497294	-1.28399714330655	1.64864866401938
"elevws"	1740	0	0.0075	236.5204	97.6314574712644	98.46145	54.7024816711429	2.09542409458023	0.125118044292952	0.0156545250076932
"fe2o3ws"	1723	17	0.64	10.365	3.99029048171793	3.5956	1.88123729072982	2.64066137530569	0.686186090602339	0.470851350936122
"hydrlcondws"	1723	17	-4.20755340218455	0.533327676376275	-2.74307156926545	-2.60911875050578	0.937444191874428	2.20810332201378	-0.284888716153039	0.081161580591327
"k2ows"	1723	17	0.3133	4.6051	3.09120023215322	2.9611	1.03241790326971	1.59685668370889	0.109618292527192	0.0120161700565771
"kffactws"	1740	0	0.0691	0.3375	0.223026091954023	0.2252	0.037825905300507	5.49409741825162	-0.271493336842415	0.0737086319498291
"mgows"	1723	17	-1.67446792597606	3.20766746230588	0.260606066910696	0.353809992903029	0.791069799073655	2.50012027027285	-0.0334755808281575	0.0011206145117825
"na2ows"	1723	17	0.8191	3.9876	2.83951276842716	2.9997	0.796744299809783	3.61554295150522	-1.32495438051396	1.75550411044313
"nws"	1723	17	-509.986761861448	-6.14549373983972	-131.107773445982	-155.294388333602	71.5277751592278	2.58683189898269	0.394978298531262	0.156007856310651
"omws"	1737	3	-2.26325233915707	3.14437704561752	0.852076733663383	0.903754638059936	0.482564532674773	9.39536692014522	-0.0138467322854407	0.000191731994984665
"p2o5ws"	1723	17	0.0136	0.215	0.118912246082414	0.12	0.0207882746870533	5.45076845726147	-0.24967769228544	0.062338950024983
"pctglaclakecrsws"	1730	10	0	100	39.432549132948	34.48	35.9700859332648	1.89302623428149	0.498572496088717	0.248574533856133
"pctglaclakefinews"	1730	10	-1.47758025382916e+20	0.588001113429086	-1.44939519696421e+20	-1.47758025382916e+20	20217545143675695104	50.4436885055624	7.03162061729459	49.4436885055624
"pctglactilcrsws"	1730	10	0	100	58.343289017341	63.395	36.5893047262475	1.76214815309689	-0.39852285366151	0.158820464890514
"pctsilicicws"	1730	10	-1999998	1.799739491899	-1861269.75136241	-1999998	508291.413772969	12.491200828169	3.38986737619125	11.4912008281657
"permws"	1737	3	5.36	46.29	14.8032391926765	13.2293117408907	6.17994588849287	5.68711562941796	1.43932244802336	2.07164910938395
"precip9120ws"	1740	0	1193.28289022751	1346.48123669096	1287.22518073719	1286.69271597667	26.4613936831884	4.43956386284986	-0.651902349011174	0.424976672646286
"rckdepws"	1737	3	105.41	152.4	136.027136377637	139.342792224186	11.3492169386293	2.95695686723971	-0.907739832967118	0.823991604355171
"runoffws"	1740	0	668	701.9865	683.304549022988	682.28895	14.5589063008924	1.11105144659917	0.0659433324506038	0.00434852309469086
"sandws"	1737	3	35.97	87.49	50.4846575561655	49.1455555555556	7.29346489177083	5.56203527445932	0.946096099925434	0.895097830294117
"sio2ws"	1723	17	46.0667	74.6	67.4953556006965	68.1505	4.34070997173354	2.67069071471923	-0.58851286416167	0.346347391283772
"sws"	1723	17	-40.9835499540219	-1.37059154333124	-13.0285488335082	-12.4243339400423	6.40962852006929	3.15633792661988	0.0246396181492844	0.000607110782542544
"tmax9120ws"	1740	0	14.102432496208	15.7545020683452	15.2420372892809	15.2916344798835	0.2788970095854	3.26622254617406	-0.572123332808758	0.327325107944201
"tmean9120ws"	1740	0	9.26002682691099	11.1781161676742	10.1994937782084	10.1609963416379	0.454274660933996	2.29520673292305	0.138980590309026	0.0193156044826454
"tmin9120ws"	1740	0	3.95848073198953	7.89787432598965	5.15718914269912	4.9661255839781	0.809412875209474	2.8022151317263	0.770765207604622	0.594079005253796
"wetindexws"	1740	0	0.499998917267206	0.499999725335173	0.499999254072043	0.499999243521187	9.99364253518868e-08	4.24142960897641	0.729270951417492	0.531836120581373
"wsareasqkmws"	1740	0	-2.74472749465542	3.35172957342762	0.944200226061184	0.806966403116008	0.834002755459167	3.38894020525987	0.336706915603631	0.113371547015311
"wtdepws"	1737	3	47.24	165.96	115.305121670052	120.919367378049	26.6597805135696	2.78534896536596	-0.721351000631533	0.520347266112114
