"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	1740	0	0.001	11390.995	240.405043103448	15.053	874.354301800268	46.3836049556347	6.11847785926617	37.4357713143303
"QC_05"	1740	0	0.001	1749.46	46.0426137931034	4.6485	151.939538022521	39.4635409883352	5.72096383270619	32.7294271751323
"QC_08"	1740	0	0	238.108	7.7494367816092	1.2195	21.7182662803259	33.4250492300562	5.18136108780353	26.8465027222045
"QC_MA"	1740	0	0.001	1585.971	42.1227620689655	4.6005	128.124119993658	37.5856997245705	5.40803133521532	29.2468029226708
"SLOPE"	1733	7	1e-05	0.3775	0.00764887920946336	0.00309523	0.0138186958106578	302.882352163043	12.3462116945571	152.42894320682
"al2o3ws"	1723	17	8.7641	16.43	13.5748362739408	14.2833	1.56824648017832	4.45572555052558	-1.65615724725778	2.74285682764446
"bfiws"	1736	4	50.2648	68	58.6104138824885	56.46285	4.98177556819907	1.68108260063352	0.431249065136964	0.185975756181505
"caows"	1723	17	0.45	6.9105	2.64222211259431	2.1328	1.57104037700972	2.89734646787338	1.06439368525568	1.13293391721216
"clayws"	1737	3	1.14	6.72	5.22588131973703	5.45345459333383	1.07337487049863	3.26870689036609	-0.913820651121199	0.835068182415573
"compstrgthws"	1723	17	77.5523	233.7508	160.143457515961	167.0622	30.9179526701516	3.66241575497294	-1.28399714330655	1.64864866401938
"elevws"	1740	0	0.0075	236.5204	97.6314574712644	98.46145	54.7024816711429	2.09542409458023	0.125118044292952	0.0156545250076932
"fe2o3ws"	1723	17	0.64	10.365	3.99029048171793	3.5956	1.88123729072982	2.64066137530569	0.686186090602339	0.470851350936122
"hydrlcondws"	1723	17	1e-04	1.6599	0.053340626813697	0.025	0.0910538019665766	104.695580831684	7.88700801573183	62.2048954402181
"k2ows"	1723	17	0.3133	4.6051	3.09120023215322	2.9611	1.03241790326971	1.59685668370889	0.109618292527192	0.0120161700565771
"kffactws"	1740	0	0.0691	0.3375	0.223026091954023	0.2252	0.037825905300507	5.49409741825162	-0.271493336842415	0.0737086319498291
"mgows"	1723	17	0.16	16.1533	1.66163418456181	1.4158	1.29661984497791	15.2937090447672	2.27851032356996	5.19160929461488
"na2ows"	1723	17	0.8191	3.9876	2.83951276842716	2.9997	0.796744299809783	3.61554295150522	-1.32495438051396	1.75550411044313
"nws"	1723	17	0.0011	0.1243	0.0157710969239698	0.0041	0.0253820370585588	5.97897560722124	2.10916388762257	4.44857230485116
