"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"
"QC_04"	0.405727628400308	0.164122759896946	0.864316830902394	-0.19863664258976	0.405727628400308	0.164122759896946	0.864316830902393	-0.198636642589759	0.164614908447339	0.0269362803161905	0.747043584181156	0.0394565157793318	1.88500646862585	0.408473608524467	15.2148159142877	1.12465980418245
"QC_05"	0.405764239514219	0.168278514439613	0.864312189565088	-0.192153276814292	0.405764239514219	0.168278514439613	0.864312189565089	-0.192153276814292	0.164644618068552	0.0283176584220032	0.747035561030798	0.03692288179047	1.88534667370628	0.429421434022065	15.2146525091553	1.05244166100631
"QC_08"	0.360693521669045	0.162367411668566	0.884777653747029	-0.191568434431256	0.360693521669045	0.162367411668567	0.88477765374703	-0.191568434431257	0.130099816574018	0.0263631763719498	0.782831496570099	0.0366984650704426	1.48977391004359	0.399782808108979	15.9436977499456	1.04604493642442
"QC_MA"	0.359419054127619	0.144855324656693	0.883456547077272	-0.195086698192863	0.359419054127619	0.144855324656693	0.883456547077272	-0.195086698192863	0.129182056469993	0.020983065081396	0.780495470573697	0.0380588198117933	1.47926463266981	0.318196432881261	15.8961205988143	1.08482018727482
"SLOPE"	0.276933082590891	-0.0438119010912795	-0.305887810519602	-0.0413177404700821	0.27693308259089	-0.0438119010912794	-0.305887810519601	-0.041317740470082	0.0766919322332926	0.00191948267723205	0.0935673526244753	0.00170715567755305	0.878199852703013	0.0291078800215006	1.90565862007781	0.0486603880779433
"wetindexws"	-0.279037689971725	-0.144807648447602	0.272557950678597	0.160826527790658	-0.279037689971725	-0.144807648447603	0.272557950678597	0.160826527790658	0.0778620324247567	0.0209692550489245	0.0742878364781167	0.0258651720411993	0.891598678183969	0.317987011471501	1.51299841216649	0.737255146543837
"na2ows"	0.774921390805303	-0.468537887456216	0.0190468050870861	0.288150610305049	0.774921390805303	-0.468537887456216	0.0190468050870861	0.288150610305049	0.600503161927625	0.219527751981934	0.000362780784025448	0.0830307742191722	6.87636590962822	3.32901543831299	0.00738864902004119	2.36669083496131
"rckdepws"	0.0888732602447306	-0.205059743762127	0.0786467531378148	0.250050351556907	0.0888732602447304	-0.205059743762126	0.0786467531378146	0.250050351556906	0.00789845638652758	0.0420494985117889	0.00618531177912036	0.0625251783137324	0.0904452793564969	0.637657100094502	0.125974417135174	1.78220386189371
"pctglactilcrsws"	0.55285276904639	0.0466304546315782	-0.334340050739429	-0.565600851281171	0.552852769046388	0.046630454631578	-0.334340050739428	-0.565600851281168	0.305646184242259	0.00217439929914765	0.111783269528443	0.319904322969982	3.49995659470772	0.0329735478570165	2.27665681653195	9.11848210928457
"sio2ws"	0.135674683427096	-0.91570753529828	0.0961495600539921	-0.19148147505646	0.135674683427095	-0.915707535298276	0.0961495600539917	-0.191481475056459	0.0184076197230425	0.838520290202044	0.00924473789857615	0.0366651552897972	0.210785782267348	12.71569068703	0.188284844795036	1.04509548179981
