"eigenvalue"	"percentage of variance"	"cumulative percentage of variance"
"comp 1"	8.73285642183186	23.6023146535996	23.6023146535996
"comp 2"	6.59437470476801	17.8226343372108	41.4249489908104
"comp 3"	4.90997451687623	13.2702013969628	54.6951503877731
"comp 4"	3.50830674596876	9.48191012423987	64.177060512013
"comp 5"	2.71296579219039	7.33233997889294	71.509400490906
"comp 6"	1.37423452917415	3.71414737614634	75.2235478670523
"comp 7"	1.23718781729452	3.34375085755275	78.567298724605
"comp 8"	1.12744713651397	3.04715442301073	81.6144531476158
"comp 9"	1.01285762335095	2.73745303608366	84.3519061836994
"comp 10"	0.900866568225615	2.43477450871787	86.7866806924173
"comp 11"	0.827193195782691	2.23565728589916	89.0223379783165
"comp 12"	0.699423788272721	1.89033456289924	90.9126725412157
"comp 13"	0.570350204426687	1.54148703899104	92.4541595802068
"comp 14"	0.54116939260795	1.46261998002148	93.9167795602282
"comp 15"	0.44417187445047	1.20046452554181	95.1172440857701
"comp 16"	0.368202476261383	0.995141827733467	96.1123859135035
"comp 17"	0.32501469734873	0.878418100942511	96.990804014446
"comp 18"	0.21671364029432	0.585712541335998	97.576516555782
"comp 19"	0.196150911156267	0.53013759771964	98.1066541535017
"comp 20"	0.15103083549724	0.408191447289836	98.5148456007915
"comp 21"	0.114917123388897	0.310586819969991	98.8254324207615
"comp 22"	0.105084158261117	0.284011238543558	99.1094436593051
"comp 23"	0.0842875390002681	0.227804159460184	99.3372478187652
"comp 24"	0.0456385466706947	0.12334742343431	99.4605952421995
"comp 25"	0.0422158526894119	0.114096899160572	99.5746921413601
"comp 26"	0.0336795037468372	0.0910256858022626	99.6657178271624
"comp 27"	0.0231925635917997	0.0626826043021614	99.7284004314646
"comp 28"	0.022676848745587	0.0612887803934783	99.789689211858
"comp 29"	0.0223983249465161	0.0605360133689624	99.850225225227
"comp 30"	0.0152000653720742	0.0410812577623627	99.8913064829894
"comp 31"	0.0138603526582543	0.0374604125898765	99.9287668955792
"comp 32"	0.0121802722658007	0.0329196547724342	99.9616865503517
"comp 33"	0.0088631970345108	0.0239545865797589	99.9856411369314
"comp 34"	0.00496088694538945	0.0134078025551066	99.9990489394865
"comp 35"	0.000225037839254068	0.000608210376362344	99.9996571498629
"comp 36"	0.000126415747080364	0.00034166418129828	99.9999988140442
"comp 37"	4.38803649893394e-07	1.18595581052268e-06	100
