"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	56322	0	-12	5.47559322474118	0.784043035031557	0.748885440009594	1.46666452750138	13.796311079975	-0.954544057089282	0.911154356924466
"QC_05"	56322	0	-12	5.95753805394815	0.554802436985303	0.516535373895932	1.71071649695634	14.2168444787418	-1.21741461972662	1.48209835632411
"QC_08"	56322	0	-9.3690426555198	21.1595869216517	0.877691829841368	0.220732878461907	4.31189047273683	6.57357445967427	1.00429978617981	1.00861806052082
"QC_MA"	56322	0	-12	5.49869176454495	0.504343779463246	0.479647272807424	1.62732731100751	14.9091813416576	-1.29638112418339	1.68060401913899
"SLOPE"	56298	24	-4.49999999	1.25887559216511	-2.61716600148144	-2.54712055212827	0.947175335693358	2.58244850341078	-0.362867975014043	0.131673167290793
"al2o3ws"	56295	27	1.6518	16.5934	12.9599774278355	12.9776	2.05121128396369	2.89864576541423	-0.495921332813369	0.245937968339389
"bfiws"	56314	8	22.2736	80	61.40843515822	63.98825	9.913218568073	2.87179348255103	-0.711158077632103	0.505745811381388
"caows"	56295	27	-0.458572090558887	10.0277013597779	1.98444252832051	2.05911320364486	1.0896768824119	4.54954100123864	0.0466848108803748	0.00217947156693636
"clayws"	56065	257	0	44.27	14.6712023173283	12.116984029641	7.72174091637759	3.36105872948896	0.93490331924188	0.874044216329485
"compstrgthws"	56295	27	0.3874	219.7411	95.1334683257838	109.4631	54.9737762533891	2.00565641152134	-0.562250141027408	0.316125221085341
"elevws"	56322	0	0.1314	2812.932	890.708453400092	841.09345	496.221326244712	2.38725572107457	0.239457965273464	0.0573401171329076
"fe2o3ws"	56295	27	1.1304	31.2015	8.31964813216094	8.31	4.06066734331703	6.09374071324421	1.47533716305004	2.17661974467654
"hydrlcondws"	56295	27	-4.98812766322609	7.78345324556806	1.50472649905788	1.86319788414547	3.11108973619937	1.59367998930282	0.0136579432545255	0.000186539413943838
"k2ows"	56295	27	0.1182	3.7029	2.13066433608669	2.0754	0.569268926886224	3.36780072220496	0.704172058295238	0.495858287683752
"kffactws"	56118	204	0.0158	0.55	0.305003348301793	0.2944	0.0867317429674876	3.02383440553036	0.611468853601864	0.373894158925178
"mgows"	56295	27	-0.618581482278856	3.02697096821104	0.739725626151723	0.734704069950887	0.51004892316143	2.53751184398413	-0.00475892691672748	2.26473853987533e-05
"na2ows"	56295	27	0.2001	3.8711	2.16193445243805	2.1384	0.874996478488663	1.65403321834561	-0.00758913898233231	5.75950304931559e-05
"nws"	56295	27	-4.21471272710553	-0.097684010491481	-2.44920801541784	-2.36286658824275	0.958546887524335	1.98825974285588	0.0151793082287972	0.000230411398304829
"omws"	56254	68	-5.84893192445264	2.57782247670585	0.172677117969278	0.15509025045867	0.529510768759651	7.11018438079328	-0.175402632190669	0.0307660833794151
"p2o5ws"	56295	27	0.0378	0.5063	0.18251815791811	0.1597	0.0587939837145946	2.02198549666727	0.580240987913467	0.336679604054796
"pctalkintruvolws"	56295	27	0	1.69	0.00644266808775202	0	0.0910314419801449	232.145675472803	14.9074733983914	222.232763123748
"pctalluvcoastws"	56295	27	0	100	4.70090203392841	0	16.603123254197	24.8038716784502	4.63612286098822	21.4936351821776
"pctcarbresidws"	56295	27	0	100	0.345007904787281	0	4.02111101349429	407.019435775333	18.9186776193358	357.916362864358
"pctcolluvsedws"	56295	27	0	100	0.227537969624301	0	3.58895068493721	462.731888793654	20.4272851461326	417.273978441411
"pcteolcrsws"	56295	27	0	97.05	0.0529707789324096	0	1.55138056466733	2019.49343518391	42.4892154682282	1805.33343110552
"pcteolfinews"	56295	27	0	100	13.5508059330314	0	30.8972946582931	5.59993021088175	2.06763794029921	4.27512665216477
"pctextruvolws"	56295	27	0	100	3.02443982591705	0	14.6982682061536	34.7201865653917	5.62410101431271	31.6305122191932
"pctglaclakecrsws"	56295	27	0	100	7.18467892352784	0	21.3885273904591	13.3246608127214	3.3372523403306	11.1372531830421
"pctglaclakefinews"	56295	27	0	100	1.27290700772715	0	8.07214854653898	88.7875878332171	8.73486810961807	76.2979208924227
"pctglactilcrsws"	56295	27	0	100	2.89161772803979	0	12.7850278123765	35.0655655239812	5.51311004766908	30.3943823977098
"pctglactilloamws"	56295	27	0	100	4.0227768007816	0	17.8441352250751	23.8510447347462	4.68016610537054	21.9039547738592
"pctnoncarbresidws"	56295	27	0	100	15.0211182165379	0	30.4967334816695	5.34386303681488	1.95698190902592	3.82977819225472
"pctsallakews"	56295	27	0	0.01	3.30402344790834e-05	0	0.000573861078600697	300.664605298788	17.3108233570442	299.664605298788
"pctsilicicws"	56295	27	0	100	47.5244984456879	44.62	43.0338180713439	1.24834149790856	0.0774646480719818	0.00600077170091599
"permws"	56251	71	-0.339535829226527	2.58851311542152	1.49744642447995	1.49727681545441	0.418171566900868	3.13058194697024	-0.00482404238184175	2.32713849018054e-05
"precip9120ws"	56322	0	182.254650550688	5842.10273725755	1300.59883217708	915.754569474718	1008.02363487449	3.1382872397484	0.97988396808586	0.960172590911691
"rckdepws"	56251	71	43.98	152.4	129.278697470425	134.596678403756	19.8978957043101	3.98625927001453	-1.14292931339748	1.30628741542323
"runoffws"	56321	1	17	3740	916.740978169777	542	901.9627125069	3.29806699783636	1.03642119340534	1.07416889013975
"sandws"	56065	257	3.08621216180016	100	36.6587453481133	37.2005470281355	16.0527652604716	3.45943461200054	0.390702679278862	0.152648583595681
"sio2ws"	56295	27	9.8712	77.7209	59.5709939355183	60.2634	6.30672038533261	5.89909614596332	-0.854458378605021	0.730099120768321
"sws"	56295	27	-19.2965705490884	-0.185917669993904	-9.80075035020013	-10.7688684925312	4.56016042162414	2.14584811131823	0.090967616542493	0.00827510725942205
"tmax9120ws"	56322	0	2.42653289555809	18.6276446844686	12.729476060142	13.338390069507	2.90215659030389	2.34174966966888	-0.442251022320335	0.195585966743381
"tmean9120ws"	56322	0	-2.26164782502886	12.3398761749286	7.53859210103988	7.97782347564267	2.4976322244784	2.45576941674033	-0.499121517959526	0.249122289690221
"tmin9120ws"	56322	0	-7.13095486707709	7.61964273455	2.34786192689007	2.43074052154694	2.30567390716322	2.51214067511821	-0.278944956575574	0.0778102887989488
"wetindexws"	56321	1	0.499997674037133	0.499999899387381	0.499998890454413	0.499998881944595	2.77126363598659e-07	2.68490065740158	0.156057640218603	0.024353987070599
"wsareasqkmws"	56322	0	-10.1639563677029	7.36547840317923	2.11035669393237	1.84038558268105	1.72952666875444	4.49008017427133	0.232445936319501	0.0540311133114497
"wtdepws"	56251	71	186.711250000019	16722.0472000002	14298.8722632941	15763.4774454599	3332.78179458273	5.81799804191165	-1.81098155309384	3.27965418564617
