"Variable"	"N"	"NumNAs"	"Min"	"Max"	"Mean"	"Median"	"SD"	"Kurtosis"	"Skewness"	"SkewnessSq"
"QC_04"	56322	0	0	298946.329	1531.30549437165	5.609	13020.8964392037	194.183752052846	12.6572093411034	160.204948304514
"QC_05"	56322	0	0	906855.422	4856.44215264018	3.285	45637.6336672269	176.980539962226	12.3269793924842	151.95442094273
"QC_08"	56322	0	0	86281.347	640.772574074074	1.244	5558.56925809132	131.219267629601	10.9660663908768	120.254612089118
"QC_MA"	56322	0	0	315276.619	1656.64672998118	3.0175	14742.5534383653	173.478896282707	12.1926236829466	148.66007227395
"SLOPE"	56298	24	1e-05	3.07348837	0.0652907911588334	0.02841391	0.0920720736875601	47.1509822084178	3.52604070979529	12.4329630871337
"al2o3ws"	56295	27	1.6518	16.5934	12.9599774278355	12.9776	2.05121128396369	2.89864576541423	-0.495921332813369	0.245937968339389
"bfiws"	56314	8	22.2736	80	61.40843515822	63.98825	9.913218568073	2.87179348255103	-0.711158077632103	0.505745811381388
"caows"	56295	27	0.594	36.1664	4.26578921929123	4.1191	2.25513976386421	25.8149505028249	2.22534597990542	4.95216473028123
"clayws"	56065	257	0	44.27	14.6712023173283	12.116984029641	7.72174091637759	3.36105872948896	0.93490331924188	0.874044216329485
"compstrgthws"	56295	27	0.3874	219.7411	95.1334683257838	109.4631	54.9737762533891	2.00565641152134	-0.562250141027408	0.316125221085341
"elevws"	56322	0	0.1314	2812.932	890.708453400092	841.09345	496.221326244712	2.38725572107457	0.239457965273464	0.0573401171329076
"fe2o3ws"	56295	27	1.1304	31.2015	8.31964813216094	8.31	4.06066734331703	6.09374071324421	1.47533716305004	2.17661974467654
"hydrlcondws"	56295	27	0.001	316.345	26.2362770174971	5.521	43.7892135641438	10.1613378615752	2.59573534445029	6.73784197842844
"k2ows"	56295	27	0.1182	3.7029	2.13066433608669	2.0754	0.569268926886224	3.36780072220496	0.704172058295238	0.495858287683752
"kffactws"	56118	204	0.0158	0.55	0.305003348301793	0.2944	0.0867317429674876	3.02383440553036	0.611468853601864	0.373894158925178
"mgows"	56295	27	0.5487	36.7947	2.55880473043787	2.1449	1.64783692272791	63.2430247097109	4.71145268765598	22.1977864280207
"na2ows"	56295	27	0.2001	3.8711	2.16193445243805	2.1384	0.874996478488663	1.65403321834561	-0.00758913898233231	5.75950304931559e-05
"nws"	56295	27	0.0042	0.9065	0.111270336619593	0.0675	0.130982763601136	11.7159535937531	2.44732965555982	5.98942244298256
"omws"	56254	68	0.01	19.71	1.41294738784443	1.16918331168416	0.994201692961403	44.2799933649539	4.61839282106415	21.3295522496569
"p2o5ws"	56295	27	0.0378	0.5063	0.18251815791811	0.1597	0.0587939837145946	2.02198549666727	0.580240987913467	0.336679604054796
"pctalkintruvolws"	56295	27	0	1.69	0.00644266808775202	0	0.0910314419801449	232.145675472803	14.9074733983914	222.232763123748
"pctalluvcoastws"	56295	27	0	100	4.70090203392841	0	16.603123254197	24.8038716784502	4.63612286098822	21.4936351821776
"pctcarbresidws"	56295	27	0	100	0.345007904787281	0	4.02111101349429	407.019435775333	18.9186776193358	357.916362864358
"pctcoastcrsws"	56295	27	0	0	0	0	0	NA	NA	NA
"pctcolluvsedws"	56295	27	0	100	0.227537969624301	0	3.58895068493721	462.731888793654	20.4272851461326	417.273978441411
"pcteolcrsws"	56295	27	0	97.05	0.0529707789324096	0	1.55138056466733	2019.49343518391	42.4892154682282	1805.33343110552
"pcteolfinews"	56295	27	0	100	13.5508059330314	0	30.8972946582931	5.59993021088175	2.06763794029921	4.27512665216477
"pctextruvolws"	56295	27	0	100	3.02443982591705	0	14.6982682061536	34.7201865653917	5.62410101431271	31.6305122191932
"pctglaclakecrsws"	56295	27	0	100	7.18467892352784	0	21.3885273904591	13.3246608127214	3.3372523403306	11.1372531830421
"pctglaclakefinews"	56295	27	0	100	1.27290700772715	0	8.07214854653898	88.7875878332171	8.73486810961807	76.2979208924227
"pctglactilclayws"	56295	27	0	0	0	0	0	NA	NA	NA
"pctglactilcrsws"	56295	27	0	100	2.89161772803979	0	12.7850278123765	35.0655655239812	5.51311004766908	30.3943823977098
"pctglactilloamws"	56295	27	0	100	4.0227768007816	0	17.8441352250751	23.8510447347462	4.68016610537054	21.9039547738592
"pcthydricws"	56295	27	0	0	0	0	0	NA	NA	NA
