"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"coord.Dim.6"	"cor.Dim.1"	"cor.Dim.2"	"cor.Dim.3"	"cor.Dim.4"	"cor.Dim.5"	"cor.Dim.6"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"cos2.Dim.6"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"contrib.Dim.6"
"QC_04"	0.413664162532155	0.69227453831827	0.349215782918708	0.313205379698833	-0.153370834208023	0.0356150643768769	0.413664162532152	0.692274538318265	0.349215782918706	0.31320537969883	-0.153370834208022	0.0356150643768766	0.171118039363427	0.479244036403767	0.121951663039525	0.0980976098722884	0.0235226127856645	0.00126843281056907	1.69591370541329	7.62539734768163	2.82337339678665	2.90678939132906	0.783611715141505	0.0624585235905969
"QC_05"	0.482428321533869	0.655773881350563	0.294212887232363	0.351366469683035	-0.156542344390295	0.0313169244401501	0.482428321533866	0.655773881350559	0.294212887232361	0.351366469683033	-0.156542344390294	0.0313169244401499	0.232737085417984	0.430039383461578	0.0865612230136023	0.123458396017518	0.0245055055872094	0.000980749756390057	2.30660668148504	6.8424871776261	2.00402887634842	3.65827012790041	0.816354944859941	0.048292807695883
"QC_08"	0.549121808761419	0.591197713599492	0.213491878157281	0.399217603968395	-0.133650518608479	0.0120366438233526	0.549121808761439	0.591197713599514	0.213491878157288	0.39921760396841	-0.133650518608483	0.012036643823353	0.301534760857434	0.349514736565293	0.0455787820391265	0.159374695318278	0.0178624611243166	0.000144880794530262	2.98844549352576	5.56123507593311	1.05522071171336	4.72252763549032	0.595054381322952	0.00713403220698165
"QC_MA"	0.449272702896927	0.698644182651811	0.321954759360716	0.290348259228383	-0.160951194920193	0.0378655581070287	0.449272702896918	0.698644182651796	0.321954759360709	0.290348259228377	-0.160951194920189	0.0378655581070279	0.201845961568302	0.488103693953196	0.103654867075012	0.0843021116369486	0.0259052871462367	0.00143380049075671	2.00045146542966	7.76636604848353	2.39977370421101	2.4980066700091	0.862986041425963	0.0706013444543136
"SLOPE"	0.320876056307331	-0.39230624591451	-0.244140176151388	-0.378795989827953	0.00231202519175183	-0.288178210506347	0.320876056307357	-0.392306245914542	-0.244140176151408	-0.378795989827984	0.00231202519175202	-0.28817821050637	0.102961443511362	0.153904190583561	0.0596044256112407	0.143486401909762	5.34546048729596e-06	0.0830466810106538	1.02042849386074	2.44881629718187	1.37993648800799	4.25173203928408	0.000178073987734184	4.08927697376158
"bfiws"	0.506404248111119	-0.210804669137422	-0.169157468528228	0.308185325706255	0.306533186606856	-0.222359388180833	0.506404248111153	-0.210804669137436	-0.169157468528239	0.308185325706275	0.306533186606876	-0.222359388180848	0.256445262505022	0.0444386085301437	0.0286142491588821	0.0949781949806829	0.0939625944913658	0.0494436975121609	2.54157327297817	0.707076190583782	0.662465011387477	2.81435612892931	3.1301875560944	2.43464243571854
"elevws"	0.808569667453131	-0.17830579519117	-0.272903177486136	0.29139620185634	-0.00924352862682965	-0.206355236515756	0.808569667453129	-0.17830579519117	-0.272903177486135	0.29139620185634	-0.00924352862682964	-0.206355236515756	0.653784907125264	0.0317929565987553	0.0744761442820291	0.0849117464563006	8.5442821475019e-05	0.0425824836374735	6.47952015176639	0.505867383853789	1.72424023765033	2.51607112670457	0.00284636730165334	2.09679143952772
"na2ows"	0.659253646271511	-0.427070873433009	0.291580215848363	-0.0239434621230596	0.290363283960092	0.227542248904872	0.659253646271369	-0.427070873432917	0.2915802158483	-0.0239434621230544	0.290363283960029	0.227542248904823	0.434615370122095	0.182389530934754	0.0850190222741414	0.00057328937843814	0.0843108366720527	0.0517754750366642	4.30737849449188	2.90205519482688	1.96832449617292	0.0169874830342534	2.80865735161417	2.54946080079905
"sio2ws"	0.311233626355836	-0.0921652101858955	-0.465182370665086	-0.144292851468323	-0.587692424142609	0.438763308139122	0.311233626355857	-0.092165210185902	-0.465182370665118	-0.144292851468333	-0.58769242414265	0.438763308139153	0.0968663701746175	0.00849442596861149	0.216394637977619	0.0208204269848624	0.345382385394665	0.192513240569213	0.960021546435839	0.135157390245637	5.00987726485681	0.616942618289279	11.5057662116377	9.47948734643509
"k2ows"	0.296362749363292	0.0981952589462733	-0.70421521336528	0.0498510130018962	0.0171493868360262	0.32954387093361	0.296362749363311	0.0981952589462797	-0.704215213365326	0.0498510130018994	0.0171493868360273	0.329543870933631	0.0878308792101807	0.00964230887952692	0.495919066735171	0.00248512349731555	0.000294101468851707	0.108599162869922	0.870472758834444	0.153421703704862	11.4813087831803	0.0736381918738162	0.00979743868304204	5.34749914974685
