"eigenvalue"	"percentage of variance"	"cumulative percentage of variance"
"comp 1"	10.090020430711	21.4681285759798	21.4681285759798
"comp 2"	6.28484018015769	13.3720003833135	34.8401289592933
"comp 3"	4.31936006687329	9.1901278018576	44.0302567611509
"comp 4"	3.37477528179079	7.18037293998003	51.210629701131
"comp 5"	3.00181994872513	6.386850954734	57.597480655865
"comp 6"	2.03084020826911	4.3209366133383	61.9184172692033
"comp 7"	1.77778366313242	3.78251843219645	65.7009357013997
"comp 8"	1.72896045572643	3.67863926750285	69.3795749689026
"comp 9"	1.31598854307046	2.79997562355402	72.1795505924566
"comp 10"	1.18029752895051	2.51127133819245	74.6908219306491
"comp 11"	1.14288409486847	2.43166828695406	77.1224902176031
"comp 12"	1.01469601981945	2.15892770174341	79.2814179193465
"comp 13"	1.00289360716965	2.13381618546723	81.4152341048137
"comp 14"	0.989737710810922	2.10582491661888	83.5210590214326
"comp 15"	0.945825714236562	2.01239513667343	85.5334541581061
"comp 16"	0.864974613547339	1.84037151818574	87.3738256762918
"comp 17"	0.801478860202413	1.70527417064334	89.0790998469352
"comp 18"	0.693601687395098	1.47574827105333	90.5548481179885
"comp 19"	0.571443855805258	1.21583799107496	91.7706861090634
"comp 20"	0.439598870978252	0.93531674676219	92.7060028558256
"comp 21"	0.407609165272322	0.867253543132556	93.5732563989582
"comp 22"	0.396780687833699	0.84421422943336	94.4174706283915
"comp 23"	0.336967382731768	0.716951878152662	95.1344225065442
"comp 24"	0.283041401935114	0.602215748798084	95.7366382553423
"comp 25"	0.255101115001959	0.542768329791375	96.2794065851337
"comp 26"	0.214498353902953	0.456379476389238	96.7357860615229
"comp 27"	0.192686491676645	0.409971258886459	97.1457573204093
"comp 28"	0.168201889905902	0.357876361501901	97.5036336819113
"comp 29"	0.156709362316879	0.333424175142279	97.8370578570535
"comp 30"	0.149525279873012	0.318138893346817	98.1551967504003
"comp 31"	0.128765820724393	0.273969831328482	98.4291665817288
"comp 32"	0.115182065435337	0.245068224330491	98.6742348060593
"comp 33"	0.0890939177073943	0.189561527037	98.8637963330963
"comp 34"	0.0858729119477771	0.182708323293133	99.0465046563894
"comp 35"	0.0809895971166345	0.172318291737512	99.218822948127
"comp 36"	0.0737763013884513	0.156970854017973	99.3757938021449
"comp 37"	0.0641440983734765	0.136476805049943	99.5122706071949
"comp 38"	0.0434913750903912	0.0925348406178489	99.6048054478127
"comp 39"	0.0429582041007658	0.091400434256944	99.6962058820697
"comp 40"	0.0387839418186724	0.0825190251461074	99.7787249072158
"comp 41"	0.0349317260608301	0.0743228214060177	99.8530477286218
"comp 42"	0.023642341993913	0.0503028553061953	99.903350583928
"comp 43"	0.0195430722501233	0.0415810047874942	99.9449315887155
"comp 44"	0.0134538691118799	0.0286252534295303	99.973556842145
"comp 45"	0.0117161791170657	0.0249280406746065	99.9984848828196
"comp 46"	0.000712089578700287	0.00151508421000053	99.9999999670296
"comp 47"	1.54960743621484e-08	3.29703709832928e-08	100
