"state","numclust","fn"
"Oregon","5","Oregon_ClusterAssignments_20250714114731_5_0f5f4dfb"
"Oregon","4","Oregon_ClusterAssignments_20250714114731_4_0f5f4dfb"
"Oregon","3","Oregon_ClusterAssignments_20250714114731_3_0f5f4dfb"
"Oregon","2","Oregon_ClusterAssignments_20250714114731_2_0f5f4dfb"
"Oregon","1","Oregon_ClusterAssignments_20250714114731_1_0f5f4dfb"
"Oregon","default","Oregon_ClusterAssignments_20250714114731_1_0f5f4dfb"
"Washington","5","Washington_ClusterAssignments_20250714115415_5_0f5f4dfb"
"Washington","4","Washington_ClusterAssignments_20250714115415_4_0f5f4dfb"
"Washington","3","Washington_ClusterAssignments_20250714115415_3_0f5f4dfb"
"Washington","2","Washington_ClusterAssignments_20250714115415_2_0f5f4dfb"
"Washington","1","Washington_ClusterAssignments_20250714115415_1_0f5f4dfb"
"Washington","default","Washington_ClusterAssignments_20250714115415_2_0f5f4dfb"
"Delaware","5","Delaware_ClusterAssignments_20250714115611_5_0f5f4dfb"
"Delaware","4","Delaware_ClusterAssignments_20250714115611_4_0f5f4dfb"
"Delaware","3","Delaware_ClusterAssignments_20250714115611_3_0f5f4dfb"
"Delaware","2","Delaware_ClusterAssignments_20250714115611_2_0f5f4dfb"
"Delaware","1","Delaware_ClusterAssignments_20250714115611_1_0f5f4dfb"
"Delaware","default","Delaware_ClusterAssignments_20250714115611_1_0f5f4dfb"
